tag,x,y,direction,x_variance,y_variance,xy_covariance
blue,10.49,1.72,0,0.01,0.01,0.0
blue,15.17,2.06,0,0.01,0.01,0.0
blue,19.59,2.57,0,0.01,0.01,0.0
blue,23.82,3.31,0,0.01,0.01,0.0
blue,27.74,4.29,0,0.01,0.01,0.0
blue,31.23,5.49,0,0.01,0.01,0.0
blue,34.28,6.97,0,0.01,0.01,0.0
blue,36.60,8.61,0,0.01,0.01,0.0
blue,38.07,10.24,0,0.01,0.01,0.0
blue,38.83,11.76,0,0.01,0.01,0.0
blue,39.03,13.20,0,0.01,0.01,0.0
blue,38.76,14.75,0,0.01,0.01,0.0
blue,37.83,16.64,0,0.01,0.01,0.0
blue,36.04,18.82,0,0.01,0.01,0.0
blue,33.35,21.18,0,0.01,0.01,0.0
blue,29.87,23.73,0,0.01,0.01,0.0
blue,26.20,26.33,0,0.01,0.01,0.0
blue,23.54,28.47,0,0.01,0.01,0.0
blue,21.42,30.59,0,0.01,0.01,0.0
blue,19.68,32.84,0,0.01,0.01,0.0
blue,18.04,35.61,0,0.01,0.01,0.0
blue,16.10,39.47,0,0.01,0.01,0.0
blue,14.35,42.43,0,0.01,0.01,0.0
blue,12.45,44.72,0,0.01,0.01,0.0
blue,10.07,46.69,0,0.01,0.01,0.0
blue,6.96,48.53,0,0.01,0.01,0.0
blue,3.21,50.44,0,0.01,0.01,0.0
blue,0.70,51.98,0,0.01,0.01,0.0
blue,-1.26,53.57,0,0.01,0.01,0.0
blue,-2.97,55.45,0,0.01,0.01,0.0
blue,-4.55,57.77,0,0.01,0.01,0.0
blue,-6.21,60.88,0,0.01,0.01,0.0
blue,-8.13,65.08,0,0.01,0.01,0.0
blue,-9.96,68.99,0,0.01,0.01,0.0
blue,-11.86,72.33,0,0.01,0.01,0.0
blue,-13.72,74.74,0,0.01,0.01,0.0
blue,-15.42,76.23,0,0.01,0.01,0.0
blue,-17.02,77.02,0,0.01,0.01,0.0
blue,-18.44,77.23,0,0.01,0.01,0.0
blue,-19.91,76.96,0,0.01,0.01,0.0
blue,-21.64,76.09,0,0.01,0.01,0.0
blue,-23.67,74.34,0,0.01,0.01,0.0
blue,-25.83,71.68,0,0.01,0.01,0.0
blue,-27.94,68.35,0,0.01,0.01,0.0
blue,-30.09,64.38,0,0.01,0.01,0.0
blue,-32.24,60.25,0,0.01,0.01,0.0
blue,-34.24,56.72,0,0.01,0.01,0.0
blue,-36.35,53.53,0,0.01,0.01,0.0
blue,-39.02,49.97,0,0.01,0.01,0.0
blue,-41.07,46.97,0,0.01,0.01,0.0
blue,-42.35,44.30,0,0.01,0.01,0.0
blue,-43.10,41.49,0,0.01,0.01,0.0
blue,-43.37,38.44,0,0.01,0.01,0.0
blue,-43.16,34.94,0,0.01,0.01,0.0
blue,-42.47,31.05,0,0.01,0.01,0.0
blue,-41.39,27.08,0,0.01,0.01,0.0
blue,-39.97,22.85,0,0.01,0.01,0.0
blue,-38.23,18.20,0,0.01,0.01,0.0
blue,-36.77,14.18,0,0.01,0.01,0.0
blue,-35.88,11.09,0,0.01,0.01,0.0
blue,-35.51,8.76,0,0.01,0.01,0.0
blue,-35.53,7.08,0,0.01,0.01,0.0
blue,-35.86,5.60,0,0.01,0.01,0.0
blue,-36.38,4.45,0,0.01,0.01,0.0
blue,-37.22,3.33,0,0.01,0.01,0.0
blue,-38.39,2.31,0,0.01,0.01,0.0
blue,-40.18,1.28,0,0.01,0.01,0.0
blue,-42.90,0.25,0,0.01,0.01,0.0
blue,-46.46,-0.68,0,0.01,0.01,0.0
blue,-51.12,-1.68,0,0.01,0.01,0.0
blue,-55.75,-2.63,0,0.01,0.01,0.0
blue,-60.27,-3.68,0,0.01,0.01,0.0
blue,-64.47,-4.83,0,0.01,0.01,0.0
blue,-68.57,-6.23,0,0.01,0.01,0.0
blue,-72.20,-7.81,0,0.01,0.01,0.0
blue,-75.21,-9.53,0,0.01,0.01,0.0
blue,-77.75,-11.51,0,0.01,0.01,0.0
blue,-79.52,-13.52,0,0.01,0.01,0.0
blue,-80.74,-15.71,0,0.01,0.01,0.0
blue,-81.58,-18.53,0,0.01,0.01,0.0
blue,-82.34,-22.46,0,0.01,0.01,0.0
blue,-83.12,-25.27,0,0.01,0.01,0.0
blue,-84.28,-28.05,0,0.01,0.01,0.0
blue,-85.95,-31.05,0,0.01,0.01,0.0
blue,-88.12,-34.31,0,0.01,0.01,0.0
blue,-90.83,-38.03,0,0.01,0.01,0.0
blue,-93.68,-41.88,0,0.01,0.01,0.0
blue,-96.42,-45.75,0,0.01,0.01,0.0
blue,-98.71,-49.30,0,0.01,0.01,0.0
