x,y,ideal_velocity
4.3,0.4,0
2.75,0.25,0
1.7,0.2,0
0,0.2,0
-1.7,-0.3,0
-1,0,0
-3,-1,0
0.9,0.22,0
3.5,0.3,0
-3.6,-1.5,0
-4.2,-2.2,0
-4.8,-3.2,0
-5,-4,0
-5.2,-5,0
-5.2,-6,0
-5.15,-6.75,0
-5.1,-7.5,0
-4.9,-8.5,0
-4.6,-9.2,0
-4.2,-10,0
-3.75,-10.6,0
-3.1,-11.3,0
-2.3,-0.6,0
-2.6,-11.8,0
-2,-12.2,0
-1.3,-12.55,0
-0.7,-12.85,0
0,-13.1,0
0.6,-13.3,0
1.2,-13.5,0
2,-13.6,0
2.7,-13.65,0
3.5,-13.7,0
4.3,-13.7,0
5.2,-13.65,0
6,-13.6,0
7,-13.55,0
8,-13.55,0
9,-13.5,0
9.8,-13.5,0
10.8,-13.5,0
11.7,-13.5,0
12.8,-13.5,0
13.9,-13.5,0
15,-13.5,0
15.8,-13.48,0
16.7,-13.48,0
17.8,-13.45,0
19,-13.4,0
20,-13.4,0
21,-13.35,0
21.8,-13.32,0
22.6,-13.3,0
23.65,-13.27,0
24.8,-13.25,0
25.8,-13.25,0
26.9,-13.2,0
28.05,-13.2,0
29.1,-13.2,0
30,-13.18,0
30.9,-13.15,0
31.9,-13.14,0
33,-13.15,0
34,-13.2,0
35,-13.2,0
35.8,-13.26,0
36.65,-13.27,0
37.5,-13.28,0
38.3,-13.28,0
39,-13.27,0
40,-13.26,0
41.15,-13.25,0
42.25,-13.2,0
43.3,-13.19,0
44.6,-13.05,0
45.6,-12.8,0
46.5,-12.37,0
47.14,-11.9,0
48,-11.1,0
48.75,-10.25,0
49.45,-9.5,0
49.9,-8.75,0
50.55,-7.8,0
50.85,-7,0
51.15,-6,0
51.25,-5,0
51.1,-4,0
50.8,-3,0
50.4,-2.1,0
49.8,-1.3,0
49,-0.55,0
48.1,0.1,0
47.3,0.6,0
46.25,1.1,0
45.2,1.55,0
44.2,2,0
43.3,2.25,0
42.35,2.5,0
41.6,2.7,0
40.6,2.95,0
39.7,3.1,0
38.75,3.2,0
37.8,3.2,0
36.7,3.18,0
35.7,3.22,0
34.7,3.32,0
33.6,3.25,0
32.55,3.1,0
31.7,2.8,0
30.7,2.35,0
29.8,1.9,0
28.85,1.4,0
28,1,0
27.1,0.6,0
26.4,0.45,0
25.5,0.4,0
24.65,0.5,0
24,0.7,0
23.2,1,0
22.3,1.28,0
21.4,1.5,0
20.7,1.75,0
19.8,1.9,0
19,1.95,0
18,1.75,0
17.1,1.4,0
16.2,1,0
15.5,0.65,0
14.6,0.1,0
13.8,-0.25,0
12.9,-0.45,0
12,-0.65,0
11.2,-0.75,0
10.2,-0.75,0
9.3,-0.65,0
8.3,-0.5,0
7.45,-0.1,0
6.55,0.15,0
5.5,0.35,0
