tag,x,y,direction,x_variance,y_variance,xy_covariance
blue,10.79,1.51,0,0.01,0.01,0.0
blue,15.64,1.59,0,0.01,0.01,0.0
blue,20.26,1.78,0,0.01,0.01,0.0
blue,24.71,2.14,0,0.01,0.01,0.0
blue,29.05,2.72,0,0.01,0.01,0.0
blue,32.98,3.52,0,0.01,0.01,0.0
blue,36.68,4.63,0,0.01,0.01,0.0
blue,39.85,6.01,0,0.01,0.01,0.0
blue,42.39,7.61,0,0.01,0.01,0.0
blue,44.25,9.37,0,0.01,0.01,0.0
blue,45.47,11.23,0,0.01,0.01,0.0
blue,46.13,13.25,0,0.01,0.01,0.0
blue,46.25,15.55,0,0.01,0.01,0.0
blue,45.79,18.23,0,0.01,0.01,0.0
blue,44.61,21.54,0,0.01,0.01,0.0
blue,42.81,25.31,0,0.01,0.01,0.0
blue,40.66,29.26,0,0.01,0.01,0.0
blue,38.52,32.64,0,0.01,0.01,0.0
blue,36.36,35.34,0,0.01,0.01,0.0
blue,34.05,37.45,0,0.01,0.01,0.0
blue,31.45,39.12,0,0.01,0.01,0.0
blue,28.46,40.42,0,0.01,0.01,0.0
blue,24.91,41.40,0,0.01,0.01,0.0
blue,21.01,42.02,0,0.01,0.01,0.0
blue,16.64,42.39,0,0.01,0.01,0.0
blue,11.90,42.65,0,0.01,0.01,0.0
blue,8.08,42.97,0,0.01,0.01,0.0
blue,5.04,43.50,0,0.01,0.01,0.0
blue,2.48,44.30,0,0.01,0.01,0.0
blue,0.37,45.34,0,0.01,0.01,0.0
blue,-1.60,46.72,0,0.01,0.01,0.0
blue,-3.72,48.74,0,0.01,0.01,0.0
blue,-6.40,51.84,0,0.01,0.01,0.0
blue,-8.98,54.65,0,0.01,0.01,0.0
blue,-11.18,56.43,0,0.01,0.01,0.0
blue,-13.28,57.48,0,0.01,0.01,0.0
blue,-15.34,57.94,0,0.01,0.01,0.0
blue,-17.73,57.86,0,0.01,0.01,0.0
blue,-20.38,57.16,0,0.01,0.01,0.0
blue,-23.54,55.72,0,0.01,0.01,0.0
blue,-27.23,53.54,0,0.01,0.01,0.0
blue,-30.99,51.24,0,0.01,0.01,0.0
blue,-34.06,49.63,0,0.01,0.01,0.0
blue,-37.05,48.42,0,0.01,0.01,0.0
blue,-40.69,47.36,0,0.01,0.01,0.0
blue,-44.72,46.27,0,0.01,0.01,0.0
blue,-47.51,45.14,0,0.01,0.01,0.0
blue,-49.76,43.65,0,0.01,0.01,0.0
blue,-51.66,41.70,0,0.01,0.01,0.0
blue,-53.35,39.12,0,0.01,0.01,0.0
blue,-55.09,35.47,0,0.01,0.01,0.0
blue,-56.65,31.98,0,0.01,0.01,0.0
blue,-57.93,29.78,0,0.01,0.01,0.0
blue,-59.12,28.34,0,0.01,0.01,0.0
blue,-60.50,27.20,0,0.01,0.01,0.0
blue,-62.03,26.39,0,0.01,0.01,0.0
blue,-63.92,25.80,0,0.01,0.01,0.0
blue,-66.21,25.50,0,0.01,0.01,0.0
blue,-69.32,25.51,0,0.01,0.01,0.0
blue,-73.27,25.89,0,0.01,0.01,0.0
blue,-77.76,26.54,0,0.01,0.01,0.0
blue,-82.69,27.31,0,0.01,0.01,0.0
blue,-87.40,28.00,0,0.01,0.01,0.0
blue,-91.92,28.54,0,0.01,0.01,0.0
blue,-96.34,28.87,0,0.01,0.01,0.0
blue,-100.47,28.93,0,0.01,0.01,0.0
blue,-104.30,28.64,0,0.01,0.01,0.0
blue,-107.34,27.99,0,0.01,0.01,0.0
blue,-109.21,27.16,0,0.01,0.01,0.0
blue,-110.07,26.44,0,0.01,0.01,0.0
blue,-110.38,25.86,0,0.01,0.01,0.0
blue,-110.45,25.23,0,0.01,0.01,0.0
blue,-110.11,24.12,0,0.01,0.01,0.0
blue,-108.94,22.43,0,0.01,0.01,0.0
blue,-106.72,20.35,0,0.01,0.01,0.0
blue,-103.59,18.15,0,0.01,0.01,0.0
blue,-99.98,16.08,0,0.01,0.01,0.0
blue,-96.13,14.18,0,0.01,0.01,0.0
blue,-92.02,12.37,0,0.01,0.01,0.0
blue,-87.55,10.58,0,0.01,0.01,0.0
blue,-82.92,8.83,0,0.01,0.01,0.0
blue,-78.40,7.12,0,0.01,0.01,0.0
blue,-74.67,5.57,0,0.01,0.01,0.0
blue,-71.92,4.18,0,0.01,0.01,0.0
blue,-70.12,2.96,0,0.01,0.01,0.0
blue,-69.03,1.89,0,0.01,0.01,0.0
blue,-68.30,0.77,0,0.01,0.01,0.0
blue,-67.95,-0.21,0,0.01,0.01,0.0
blue,-67.84,-1.24,0,0.01,0.01,0.0
blue,-67.98,-2.41,0,0.01,0.01,0.0
blue,-68.50,-3.84,0,0.01,0.01,0.0
blue,-69.62,-5.66,0,0.01,0.01,0.0
blue,-71.46,-7.83,0,0.01,0.01,0.0
blue,-74.35,-10.66,0,0.01,0.01,0.0
blue,-77.83,-13.80,0,0.01,0.01,0.0
blue,-81.53,-17.05,0,0.01,0.01,0.0
blue,-85.20,-20.34,0,0.01,0.01,0.0
blue,-88.70,-23.57,0,0.01,0.01,0.0
blue,-91.89,-26.68,0,0.01,0.01,0.0
blue,-95.13,-30.05,0,0.01,0.01,0.0
blue,-98.09,-33.39,0,0.01,0.01,0.0
blue,-100.83,-36.85,0,0.01,0.01,0.0
blue,-103.07,-40.12,0,0.01,0.01,0.0
blue,-104.90,-43.44,0,0.01,0.01,0.0
blue,-105.97,-46.27,0,0.01,0.01,0.0
blue,-106.31,-48.37,0,0.01,0.01,0.0
blue,-106.15,-49.77,0,0.01,0.01,0.0
blue,-105.75,-50.59,0,0.01,0.01,0.0
blue,-105.05,-51.22,0,0.01,0.01,0.0
blue,-103.71,-51.74,0,0.01,0.01,0.0
blue,-101.44,-51.91,0,0.01,0.01,0.0
blue,-98.32,-51.51,0,0.01,0.01,0.0
blue,-94.66,-50.55,0,0.01,0.01,0.0
blue,-90.54,-49.12,0,0.01,0.01,0.0
blue,-86.01,-47.33,0,0.01,0.01,0.0
blue,-81.57,-45.53,0,0.01,0.01,0.0
blue,-77.31,-43.88,0,0.01,0.01,0.0
blue,-72.75,-42.23,0,0.01,0.01,0.0
blue,-68.72,-40.67,0,0.01,0.01,0.0
blue,-65.29,-38.99,0,0.01,0.01,0.0
blue,-62.25,-37.02,0,0.01,0.01,0.0
blue,-59.45,-34.67,0,0.01,0.01,0.0
blue,-56.80,-31.89,0,0.01,0.01,0.0
blue,-54.33,-28.74,0,0.01,0.01,0.0
blue,-51.96,-25.21,0,0.01,0.01,0.0
blue,-49.74,-21.41,0,0.01,0.01,0.0
blue,-47.57,-17.33,0,0.01,0.01,0.0
blue,-45.32,-12.82,0,0.01,0.01,0.0
blue,-43.27,-8.79,0,0.01,0.01,0.0
blue,-41.42,-5.49,0,0.01,0.01,0.0
blue,-39.66,-2.91,0,0.01,0.01,0.0
blue,-37.96,-0.98,0,0.01,0.01,0.0
blue,-36.28,0.40,0,0.01,0.01,0.0
blue,-34.48,1.43,0,0.01,0.01,0.0
blue,-32.45,2.14,0,0.01,0.01,0.0
blue,-30.11,2.55,0,0.01,0.01,0.0
blue,-26.99,2.64,0,0.01,0.01,0.0
blue,-23.03,2.40,0,0.01,0.01,0.0
blue,-18.15,1.98,0,0.01,0.01,0.0
blue,-13.51,1.68,0,0.01,0.01,0.0
blue,-8.85,1.54,0,0.01,0.01,0.0
blue,-3.98,1.50,0,0.01,0.01,0.0
blue,0.92,1.50,0,0.01,0.01,0.0
yellow,10.81,-1.49,0,0.01,0.01,0.0
yellow,15.53,-1.42,0,0.01,0.01,0.0
yellow,20.05,-1.24,0,0.01,0.01,0.0
yellow,24.26,-0.92,0,0.01,0.01,0.0
yellow,28.43,-0.42,0,0.01,0.01,0.0
yellow,32.10,0.24,0,0.01,0.01,0.0
yellow,35.75,1.16,0,0.01,0.01,0.0
yellow,38.94,2.28,0,0.01,0.01,0.0
yellow,41.65,3.56,0,0.01,0.01,0.0
yellow,44.00,5.06,0,0.01,0.01,0.0
yellow,45.76,6.58,0,0.01,0.01,0.0
yellow,47.17,8.24,0,0.01,0.01,0.0
yellow,48.22,10.04,0,0.01,0.01,0.0
yellow,48.90,11.92,0,0.01,0.01,0.0
yellow,49.23,13.83,0,0.01,0.01,0.0
yellow,49.22,16.07,0,0.01,0.01,0.0
yellow,48.80,18.58,0,0.01,0.01,0.0
yellow,47.90,21.41,0,0.01,0.01,0.0
yellow,46.48,24.68,0,0.01,0.01,0.0
yellow,44.54,28.46,0,0.01,0.01,0.0
yellow,42.50,32.03,0,0.01,0.01,0.0
yellow,40.54,34.98,0,0.01,0.01,0.0
yellow,38.63,37.30,0,0.01,0.01,0.0
yellow,36.63,39.23,0,0.01,0.01,0.0
yellow,34.38,40.88,0,0.01,0.01,0.0
yellow,31.81,42.29,0,0.01,0.01,0.0
yellow,29.07,43.38,0,0.01,0.01,0.0
yellow,25.82,44.27,0,0.01,0.01,0.0
yellow,22.23,44.90,0,0.01,0.01,0.0
yellow,18.28,45.29,0,0.01,0.01,0.0
yellow,13.70,45.56,0,0.01,0.01,0.0
yellow,9.27,45.86,0,0.01,0.01,0.0
yellow,5.73,46.42,0,0.01,0.01,0.0
yellow,3.09,47.30,0,0.01,0.01,0.0
yellow,0.87,48.60,0,0.01,0.01,0.0
yellow,-1.39,50.65,0,0.01,0.01,0.0
yellow,-4.25,53.94,0,0.01,0.01,0.0
yellow,-6.58,56.50,0,0.01,0.01,0.0
yellow,-8.62,58.30,0,0.01,0.01,0.0
yellow,-10.52,59.53,0,0.01,0.01,0.0
yellow,-12.50,60.39,0,0.01,0.01,0.0
yellow,-14.49,60.86,0,0.01,0.01,0.0
yellow,-16.55,60.97,0,0.01,0.01,0.0
yellow,-18.76,60.73,0,0.01,0.01,0.0
yellow,-21.29,60.03,0,0.01,0.01,0.0
yellow,-23.98,58.87,0,0.01,0.01,0.0
yellow,-27.29,57.03,0,0.01,0.01,0.0
yellow,-31.17,54.62,0,0.01,0.01,0.0
yellow,-34.70,52.65,0,0.01,0.01,0.0
yellow,-37.93,51.29,0,0.01,0.01,0.0
yellow,-41.91,50.15,0,0.01,0.01,0.0
yellow,-45.63,49.13,0,0.01,0.01,0.0
yellow,-48.21,48.14,0,0.01,0.01,0.0
yellow,-50.41,46.91,0,0.01,0.01,0.0
yellow,-52.28,45.44,0,0.01,0.01,0.0
yellow,-53.94,43.65,0,0.01,0.01,0.0
yellow,-55.50,41.40,0,0.01,0.01,0.0
yellow,-57.02,38.51,0,0.01,0.01,0.0
yellow,-58.75,34.57,0,0.01,0.01,0.0
yellow,-60.24,31.72,0,0.01,0.01,0.0
yellow,-61.54,30.18,0,0.01,0.01,0.0
yellow,-62.95,29.26,0,0.01,0.01,0.0
yellow,-64.86,28.68,0,0.01,0.01,0.0
yellow,-67.92,28.46,0,0.01,0.01,0.0
yellow,-71.76,28.73,0,0.01,0.01,0.0
yellow,-76.20,29.33,0,0.01,0.01,0.0
yellow,-81.02,30.09,0,0.01,0.01,0.0
yellow,-85.72,30.80,0,0.01,0.01,0.0
yellow,-90.34,31.39,0,0.01,0.01,0.0
yellow,-94.44,31.76,0,0.01,0.01,0.0
yellow,-98.65,31.94,0,0.01,0.01,0.0
yellow,-102.14,31.86,0,0.01,0.01,0.0
yellow,-105.51,31.50,0,0.01,0.01,0.0
yellow,-108.08,30.90,0,0.01,0.01,0.0
yellow,-109.98,30.16,0,0.01,0.01,0.0
yellow,-111.44,29.26,0,0.01,0.01,0.0
yellow,-112.31,28.43,0,0.01,0.01,0.0
yellow,-112.97,27.45,0,0.01,0.01,0.0
yellow,-113.33,26.47,0,0.01,0.01,0.0
yellow,-113.45,25.44,0,0.01,0.01,0.0
yellow,-113.33,24.26,0,0.01,0.01,0.0
yellow,-112.81,22.81,0,0.01,0.01,0.0
yellow,-111.86,21.27,0,0.01,0.01,0.0
yellow,-110.28,19.49,0,0.01,0.01,0.0
yellow,-108.08,17.61,0,0.01,0.01,0.0
yellow,-105.19,15.61,0,0.01,0.01,0.0
yellow,-101.85,13.68,0,0.01,0.01,0.0
yellow,-98.16,11.82,0,0.01,0.01,0.0
yellow,-93.98,9.94,0,0.01,0.01,0.0
yellow,-89.70,8.20,0,0.01,0.01,0.0
yellow,-85.49,6.59,0,0.01,0.01,0.0
yellow,-80.84,4.84,0,0.01,0.01,0.0
yellow,-76.63,3.15,0,0.01,0.01,0.0
yellow,-73.43,1.58,0,0.01,0.01,0.0
yellow,-71.63,0.29,0,0.01,0.01,0.0
yellow,-71.00,-0.54,0,0.01,0.01,0.0
yellow,-70.84,-1.13,0,0.01,0.01,0.0
yellow,-70.96,-1.94,0,0.01,0.01,0.0
yellow,-71.79,-3.53,0,0.01,0.01,0.0
yellow,-73.91,-6.05,0,0.01,0.01,0.0
yellow,-77.10,-9.12,0,0.01,0.01,0.0
yellow,-80.66,-12.29,0,0.01,0.01,0.0
yellow,-84.20,-15.41,0,0.01,0.01,0.0
yellow,-87.69,-18.54,0,0.01,0.01,0.0
yellow,-91.23,-21.84,0,0.01,0.01,0.0
yellow,-94.47,-25.02,0,0.01,0.01,0.0
yellow,-97.33,-28.01,0,0.01,0.01,0.0
yellow,-100.19,-31.23,0,0.01,0.01,0.0
yellow,-102.91,-34.62,0,0.01,0.01,0.0
yellow,-105.07,-37.68,0,0.01,0.01,0.0
yellow,-106.81,-40.59,0,0.01,0.01,0.0
yellow,-108.19,-43.49,0,0.01,0.01,0.0
yellow,-108.95,-45.82,0,0.01,0.01,0.0
yellow,-109.30,-47.97,0,0.01,0.01,0.0
yellow,-109.26,-49.50,0,0.01,0.01,0.0
yellow,-108.94,-50.91,0,0.01,0.01,0.0
yellow,-108.38,-52.05,0,0.01,0.01,0.0
yellow,-107.61,-53.01,0,0.01,0.01,0.0
yellow,-106.64,-53.77,0,0.01,0.01,0.0
yellow,-105.42,-54.36,0,0.01,0.01,0.0
yellow,-103.67,-54.79,0,0.01,0.01,0.0
yellow,-101.48,-54.91,0,0.01,0.01,0.0
yellow,-98.68,-54.62,0,0.01,0.01,0.0
yellow,-95.43,-53.90,0,0.01,0.01,0.0
yellow,-91.78,-52.76,0,0.01,0.01,0.0
yellow,-87.70,-51.24,0,0.01,0.01,0.0
yellow,-83.22,-49.43,0,0.01,0.01,0.0
yellow,-78.80,-47.66,0,0.01,0.01,0.0
yellow,-74.35,-45.99,0,0.01,0.01,0.0
yellow,-70.00,-44.41,0,0.01,0.01,0.0
yellow,-66.43,-42.93,0,0.01,0.01,0.0
yellow,-63.45,-41.40,0,0.01,0.01,0.0
yellow,-60.71,-39.62,0,0.01,0.01,0.0
yellow,-58.13,-37.53,0,0.01,0.01,0.0
yellow,-55.71,-35.16,0,0.01,0.01,0.0
yellow,-53.25,-32.30,0,0.01,0.01,0.0
yellow,-51.02,-29.25,0,0.01,0.01,0.0
yellow,-48.80,-25.79,0,0.01,0.01,0.0
yellow,-46.73,-22.17,0,0.01,0.01,0.0
yellow,-44.64,-18.18,0,0.01,0.01,0.0
yellow,-42.39,-13.67,0,0.01,0.01,0.0
yellow,-40.32,-9.62,0,0.01,0.01,0.0
yellow,-38.29,-6.15,0,0.01,0.01,0.0
yellow,-36.36,-3.64,0,0.01,0.01,0.0
yellow,-34.57,-2.06,0,0.01,0.01,0.0
yellow,-32.60,-1.04,0,0.01,0.01,0.0
yellow,-30.19,-0.48,0,0.01,0.01,0.0
yellow,-26.85,-0.36,0,0.01,0.01,0.0
yellow,-22.55,-0.65,0,0.01,0.01,0.0
yellow,-17.74,-1.06,0,0.01,0.01,0.0
yellow,-13.38,-1.33,0,0.01,0.01,0.0
yellow,-8.76,-1.46,0,0.01,0.01,0.0
yellow,-3.98,-1.50,0,0.01,0.01,0.0
yellow,0.91,-1.50,0,0.01,0.01,0.0
big_orange,6.27,1.50,0,0.01,0.01,0.0
big_orange,6.27,-1.50,0,0.01,0.01,0.0
big_orange,5.77,1.50,0,0.01,0.01,0.0
big_orange,5.77,-1.50,0,0.01,0.01,0.0
car_start,0.0,0.0,0,0.01,0.01,0.0
