Number of Cones in the Map, Prediction Step Execution Time, Number of Cones coming from perception, Correction Step Execution Time (ms), Total time (ms)
10,0,1,0.143,0.143
20,0,1,0.164,0.164
50,0,1,0.711,0.711
100,0,1,2.336,2.336
200,0,1,6.435,6.435
10,0,2,0.185,0.185
20,0,2,0.34,0.34
50,0,2,1.393,1.393
100,0,2,4.772,4.772
200,0,2,12.952,12.952
10,0,5,0.59,0.59
20,0,5,1.617,1.617
50,0,5,13.545,13.545
100,0,5,80.975,80.975
200,0,5,641.32,641.32
10,0,10,1.437,1.437
20,0,10,3.744,3.744
50,0,10,23.334,23.334
100,0,10,116.586,116.586
200,0,10,751.656,751.656
