Number of Cones in the Map, Prediction Step Execution Time, Number of Cones coming from perception, Correction Step Execution Time (ms), Total time (ms)
10,0.442,0,0,0.442
20,0.951,0,0,0.951
30,1.321,0,0,1.321
40,1.785,0,0,1.785
50,2.512,0,0,2.512
60,5.176,0,0,5.176
70,5.791,0,0,5.791
80,7.859,0,0,7.859
90,11.199,0,0,11.199
100,13.767,0,0,13.767
110,18.69,0,0,18.69
120,26.645,0,0,26.645
130,29.074,0,0,29.074
140,34.479,0,0,34.479
150,43.217,0,0,43.217
160,51.551,0,0,51.551
170,61.308,0,0,61.308
180,69.817,0,0,69.817
190,81.373,0,0,81.373
200,93.372,0,0,93.372
10,0.098,1,0.068,0.166
20,0.389,1,0.125,0.514
30,0.772,1,0.23,1.002
40,1.355,1,0.368,1.723
50,2.427,1,0.536,2.963
60,3.617,1,0.774,4.391
70,5.507,1,0.975,6.482
80,7.646,1,1.249,8.895
90,10.45,1,1.547,11.997
100,13.567,1,1.924,15.491
110,17.966,1,2.28,20.246
120,22.368,1,2.207,24.575
130,28.335,1,2.572,30.907
140,34.834,1,2.949,37.783
150,41.978,1,3.391,45.369
160,49.62,1,3.806,53.426
170,59.505,1,4.255,63.76
180,69.568,1,4.737,74.305
190,84.534,1,5.562,90.096
200,93.579,1,5.944,99.523
10,0.097,2,0.12,0.217
20,0.399,2,0.25,0.649
30,0.74,2,0.458,1.198
40,1.367,2,0.741,2.108
50,2.425,2,1.075,3.5
60,4.281,2,1.895,6.176
70,5.612,2,2.036,7.648
80,7.881,2,2.548,10.429
90,10.759,2,3.162,13.921
100,13.628,2,3.801,17.429
110,20.367,2,4.839,25.206
120,28.442,2,4.793,33.235
130,29.929,2,5.483,35.412
140,36.407,2,6.092,42.499
150,43.887,2,7.104,50.991
160,53.086,2,7.938,61.024
170,71.23,2,9.228,80.458
180,70.252,2,9.515,79.767
190,83.387,2,11.156,94.543
200,99.619,2,11.72,111.339
10,0.101,3,0.177,0.278
20,0.408,3,0.409,0.817
30,0.745,3,0.688,1.433
40,1.449,3,1.114,2.563
50,2.49,3,1.674,4.164
60,3.763,3,2.389,6.152
70,5.55,3,2.967,8.517
80,7.807,3,3.778,11.585
90,10.638,3,4.679,15.317
100,13.707,3,5.725,19.432
110,18.568,3,6.995,25.563
120,22.768,3,6.771,29.539
130,29.298,3,7.864,37.162
140,35.86,3,9.051,44.911
150,43.111,3,10.218,53.329
160,51.079,3,11.441,62.52
170,61.127,3,12.751,73.878
180,74.794,3,14.306,89.1
190,83.724,3,15.924,99.648
200,95.891,3,17.761,113.652
10,0.097,4,0.228,0.325
20,0.398,4,0.549,0.947
30,0.766,4,0.916,1.682
40,1.357,4,1.455,2.812
50,2.475,4,2.166,4.641
60,3.622,4,3.104,6.726
70,5.59,4,3.996,9.586
80,7.773,4,5.038,12.811
90,10.517,4,6.257,16.774
100,13.754,4,7.576,21.33
110,18.168,4,9.202,27.37
120,22.723,4,9.039,31.762
130,28.62,4,10.338,38.958
140,35.256,4,11.894,47.15
150,42.829,4,13.506,56.335
160,54.936,4,15.253,70.189
170,63.238,4,18.091,81.329
180,70.987,4,18.883,89.87
190,83.381,4,21.153,104.534
200,98.171,4,24.108,122.279
10,0.1,5,0.318,0.418
20,0.415,5,0.661,1.076
30,0.783,5,1.15,1.933
40,1.435,5,1.891,3.326
50,2.773,5,3.167,5.94
60,3.68,5,3.9,7.58
70,5.682,5,5.025,10.707
80,7.748,5,6.257,14.005
90,11.362,5,8.22,19.582
100,14.33,5,9.784,24.114
110,19.027,5,12.212,31.239
120,23.468,5,11.529,34.997
130,33.903,5,13.371,47.274
140,35.426,5,14.91,50.336
150,43.562,5,17.138,60.7
160,52.43,5,19.285,71.715
170,61.715,5,21.819,83.534
180,71.618,5,23.812,95.43
190,83.373,5,27.075,110.448
200,101.362,5,29.45,130.812
10,0.098,6,0.338,0.436
20,0.39,6,0.746,1.136
30,0.751,6,1.371,2.122
40,1.356,6,2.184,3.54
50,2.773,6,3.547,6.32
