Number of Cones in the Map, Prediction Step Execution Time, Number of Cones coming from perception, Correction Step Execution Time (ms), Total time (ms)
10,0.246,1,0.092,0.338
20,0.852,1,0.16,1.012
50,23.317,1,1.055,24.372
100,30.96,1,3.489,34.449
200,136.727,1,7.831,144.558
10,0.188,2,0.164,0.352
20,0.846,2,0.313,1.159
50,14.979,2,2.06,17.039
100,30.812,2,5.781,36.593
200,155.569,2,14.634,170.203
10,0.183,5,0.372,0.555
20,0.865,5,0.792,1.657
50,18.509,5,4.612,23.121
100,32.141,5,13.259,45.4
200,201.588,5,35.769,237.357
10,0.183,10,0.737,0.92
20,0.846,10,1.544,2.39
50,12.447,10,7.843,20.29
100,20.43,10,24.549,44.979
200,146.23,10,64.99,211.22
