Initial Number of Points,Conversion Duration,RANSAC Epsilon,RANSAC Number Iterations,Number of Points after RANSAC,RANSAC Duration(ms),DBSCAN Distance Threshold,DBSCAN Neighbours Threshold,Number of Generated Clusters,DBSCAN Duration(ms),Number of Blue Cones,Number of Yellow Cones,Number of Undefined Cones,ConeDifferentiation Duration(ms),Total Duration(ms)
12862,0,0.100,20,1832,1,0.100,3,137987627329152,3,8,6,1626,0,6
13265,0,0.100,20,2450,1,0.100,4,137987627329152,4,13,2,2209,0,7
13329,0,0.100,20,2445,1,0.100,4,137987627329152,4,14,2,2207,1,7
13274,0,0.100,20,2840,1,0.100,5,137987627329152,5,10,6,2617,1,8
13531,0,0.100,20,3001,1,0.100,5,137987627329152,5,11,6,2774,1,8
13086,0,0.100,20,1929,1,0.100,3,137987627329152,3,9,7,1680,0,5
13393,0,0.100,20,2612,1,0.100,4,137987627329152,4,18,10,2182,1,8
12900,0,0.100,20,1833,1,0.100,3,137987627329152,3,8,5,1606,0,5
12862,0,0.100,20,1832,1,0.100,3,132407405749888,3,8,6,1626,0,6
13265,0,0.100,20,2450,1,0.100,4,132407405749888,4,13,2,2209,1,8
13329,0,0.100,20,2445,1,0.100,4,132407405749888,4,14,2,2207,1,7
13274,0,0.100,20,2840,1,0.100,5,132407405749888,5,10,6,2617,1,9
13531,0,0.100,20,3001,1,0.100,5,132407405749888,5,11,6,2774,1,9
13086,0,0.100,20,1929,1,0.100,3,132407405749888,3,9,7,1680,0,6
13393,0,0.100,20,2612,1,0.100,4,132407405749888,4,18,10,2182,1,8
12900,0,0.100,20,1833,1,0.100,3,132407405749888,3,8,5,1606,0,5
