Test Name,Number of Left Cones,Number of Right Cones,Number of Outliers,Outlier Removal Execution Time, Delaunay Triangulations Execution Time
250points_2outliers,47,51,2,0.341699,0.0996073
250points_2outliers,127,139,2,4.21122,0.604284
250points_2outliers,143,123,2,4.64484,0.975431
250points_2outliers,127,139,2,3.94597,0.571485
250points_10outliers,127,139,10,4.11431,0.60388
250points_25outliers,127,139,25,4.16363,0.592479
250points_50outliers,127,139,50,4.18959,0.599982
250points_2outliers,47,51,2,0.368997,0.102335
250points_2outliers,127,139,2,4.28902,0.640951
250points_2outliers,143,123,2,4.17378,0.978023
250points_2outliers,127,139,2,4.04884,0.586613
250points_10outliers,127,139,10,4.18796,0.626469
250points_25outliers,127,139,25,4.25679,0.614696
250points_50outliers,127,139,50,4.3483,0.611194
