elapsed_s,real_x,real_y,real_yaw,sim_x,sim_y,sim_yaw,position_error,heading_error,real_velocity_x,real_velocity_y,real_yaw_rate,sim_velocity_x,sim_velocity_y,sim_yaw_rate,real_fl_rpm,real_fr_rpm,real_front_rpm,real_motor_rpm,sim_fl_rpm,sim_fr_rpm,sim_front_rpm,sim_motor_rpm,front_wheel_rpm_error,motor_rpm_error
0.00753826,-0.00187089,-0.000270244,8.437e-06,0.00159295,0.000667918,-1.07254e-06,0.00358864,-9.50955e-06,4.97994e-05,0,-0.000474497,0.19441,0.0052719,0.00890014,0.000000,0.000000,0.000000,7.000000,7.70317,7.82498,7.76407,407.446,7.76407,400.446
0.0277869,0.0282884,-0.000270551,-4.41542e-05,0.0476638,0.00070983,-2.98299e-05,0.0194003,1.43243e-05,0.183676,0,-0.0057269,0.972749,-0.00141432,-0.00234682,0.000000,0.000000,0.000000,-65.000000,50.4294,50.3831,50.4062,338.038,50.4062,403.038
0.0478713,0.028066,0.0027869,-0.000105083,0.157843,0.000441541,-0.000378714,0.129798,-0.000273631,0.716177,0,-0.00626363,1.70084,-0.00480876,-0.0125282,0.080000,0.000000,0.040000,36.000000,89.2187,88.495,88.8569,397.461,88.8169,361.461
0.0680564,0.0782096,0.00221089,-0.00115177,0.32388,-0.00150388,-0.00222294,0.245699,-0.00107118,0.751373,0,0.00304723,2.41604,-0.0416002,-0.0358992,14.100000,0.080000,7.090000,171.000000,127.23,125.038,126.134,532.533,119.044,361.533
0.0882798,0.126525,-0.00644331,-0.000907504,0.547281,-0.00737785,-0.00704536,0.420756,-0.00613785,1.11534,0,-0.00291342,3.12096,-0.0864218,-0.085281,48.509998,52.520000,50.514999,219.000000,165.653,160.422,163.037,692.864,112.522,473.864
0.108342,0.254336,-0.00664866,-0.00294927,0.823545,-0.0197818,-0.0160031,0.56936,-0.0130538,1.79274,0,-0.0586261,3.8144,-0.151104,-0.146725,80.110001,73.279999,76.695000,351.000000,203.93,195.137,199.534,844.97,122.839,493.97
0.128505,0.297282,0.0372497,-0.01093,1.15859,-0.0425741,-0.030502,0.865002,-0.0195721,1.92201,0,-0.092582,4.42033,-0.217977,-0.212315,106.160004,108.110001,107.135002,354.000000,238.35,225.098,231.724,955.506,124.589,601.506
0.148763,0.499902,0.0341653,-0.0201703,1.5362,-0.0776253,-0.0497162,1.04231,-0.0295459,2.7728,0,-0.178612,4.88069,-0.271,-0.263219,130.089996,118.510002,124.299999,398.000000,264.712,248.323,256.518,985.11,132.218,587.11
0.168909,0.700626,0.0235823,-0.0319656,1.94005,-0.125062,-0.0716794,1.24831,-0.0397137,3.27605,0,-0.14639,5.20876,-0.293698,-0.273931,139.850006,128.970001,134.410004,486.000000,283.752,265.995,274.874,1043.97,140.464,557.974
0.189069,0.850544,0.00582409,-0.0412015,2.36511,-0.184019,-0.0940279,1.52642,-0.0528264,3.02423,0,-0.150024,5.43553,-0.291808,-0.272222,147.529999,121.650002,134.590000,599.000000,294.673,277.583,286.128,1083.27,151.538,484.271
0.209228,1.15096,-0.0167442,-0.0546467,2.80621,-0.253437,-0.115708,1.6721,-0.0610611,2.61533,0,-0.16637,5.63911,-0.27031,-0.268373,147.529999,121.650002,134.590000,541.000000,304.666,288.17,296.418,1140.43,161.828,599.426
0.229397,1.40608,-0.0373362,-0.0668408,3.26323,-0.332301,-0.135812,1.88043,-0.068971,2.79038,0,-0.128052,5.84837,-0.241234,-0.236759,175.339996,151.350006,163.345001,482.000000,314.997,299.821,307.409,1155.28,144.064,673.275
