elapsed_s,real_x,real_y,real_yaw,sim_x,sim_y,sim_yaw,position_error,heading_error,real_velocity_x,real_velocity_y,real_yaw_rate,sim_velocity_x,sim_velocity_y,sim_yaw_rate,real_fl_rpm,real_fr_rpm,real_front_rpm,real_motor_rpm,sim_fl_rpm,sim_fr_rpm,sim_front_rpm,sim_motor_rpm,front_wheel_rpm_error,motor_rpm_error
0.0130124,2.04281,0.353885,0.254921,-0.000413341,0.000664707,0,2.07353,-0.254921,4.16057,0,0.749266,0,0,0,169.169998,214.330002,191.750000,720.000000,0,0,0,0,-191.75,-720
0.0331277,2.34974,0.481405,0.315031,-0.000597169,0.000653709,-9.42919e-06,2.399,-0.31504,2.84301,0,0.678683,0,0,0,172.149994,207.190002,189.669998,555.000000,0,0,0,0,-189.67,-555
0.0532801,2.68124,0.586966,0.368538,0.00977952,0.00167231,0.000971285,2.73483,-0.367567,5.03243,0,0.680653,0.354189,0.0366715,0.0319964,166.179993,206.339996,186.259995,855.000000,19.8857,22.2149,21.0503,20.4757,-165.21,-834.524
0.0735316,2.94271,0.743447,0.42035,0.0553735,0.00697883,0.00576763,2.97978,-0.414583,3.22042,0,0.628899,0.780294,0.0916639,0.0775115,167.429993,206.440002,186.934998,599.000000,37.6236,43.5182,40.5709,183.98,-146.364,-415.02
0.0938683,3.24272,0.923424,0.465982,0.116965,0.0150464,0.0126885,3.25508,-0.453294,4.68578,0,0.586271,0.61128,0.0792333,0.0685503,175.360001,197.250000,186.305000,695.000000,34.4212,38.4416,36.4314,9.17138,-149.874,-685.829
0.113823,3.51787,1.06931,0.510946,0.169436,0.0224757,0.0187216,3.50826,-0.492224,4.13245,0,0.558462,0.777003,0.0993303,0.0887009,178.320007,209.350006,193.835007,779.000000,36.8718,43.0592,39.9655,283.116,-153.87,-495.884
0.134112,3.78877,1.27229,0.560474,0.24044,0.0327852,0.0267085,3.7586,-0.533766,3.22465,0,0.571849,0.781893,0.0960504,0.0870149,183.899994,180.580002,182.239998,599.000000,38.8198,43.5752,41.1975,299.489,-141.043,-299.511
0.154193,4.0648,1.49463,0.609278,0.313512,0.0440214,0.0349319,4.02199,-0.574346,5.58946,0,0.606124,1.06501,0.136007,0.123516,181.190002,229.610001,205.400002,771.000000,50.9538,58.1186,54.5362,277.51,-150.864,-493.49
0.174378,4.2287,1.65469,0.644169,0.406673,0.0591368,0.0452531,4.14169,-0.598916,3.85233,0,0.564549,1.11245,0.136316,0.11857,192.929993,228.270004,210.599998,775.000000,53.6459,60.8796,57.2628,275.402,-153.337,-499.598
0.194695,4.50225,1.86888,0.6842,0.499922,0.0746461,0.0550871,4.3861,-0.629113,4.20037,0,0.535764,1.23576,0.150445,0.134126,199.809998,240.380005,220.095001,731.000000,61.291,69.5971,65.444,171.276,-154.651,-559.724
0.214806,4.6793,2.05115,0.721238,0.602048,0.0926314,0.0659547,4.52325,-0.655284,4.24133,0,0.607782,1.54279,0.167157,0.158085,194.729996,215.179993,204.954994,845.000000,77.4008,87.1242,82.2625,377.775,-122.692,-467.225
0.234991,5.04209,2.42091,0.777954,0.73724,0.116776,0.0789974,4.88271,-0.698957,4.3794,0,0.562596,1.72843,0.17477,0.159395,204.350006,233.779999,219.065002,731.000000,86.757,96.6003,91.6786,335.183,-127.386,-395.817
0.255206,5.29185,2.73104,0.826525,0.889172,0.144506,0.0925009,5.10624,-0.734024,5.00607,0,0.437691,2.10687,0.196349,0.181209,203.190002,221.160004,212.175003,819.000000,106.328,117.43,111.879,431.531,-100.296,-387.469
0.275404,5.54652,3.0169,0.859834,1.06945,0.179707,0.108154,5.30036,-0.75168,4.90817,0,0.434666,2.37132,0.216579,0.204458,216.940002,244.809998,230.875000,833.000000,119.798,132.115,125.957,472.838,-104.918,-360.162
0.295542,5.81146,3.39103,0.904895,1.27,0.221339,0.124963,5.53821,-0.779932,5.19126,0,0.43864,2.84073,0.238725,0.227126,223.970001,252.270004,238.120003,921.000000,143.351,157.349,150.35,685.805,-87.7701,-235.195
0.315747,5.97587,3.63502,0.929628,1.52179,0.276182,0.144175,5.57858,-0.785453,5.39483,0,0.466258,3.36759,0.251445,0.242777,226.899994,322.329987,274.614990,995.000000,171.12,185.962,178.541,670.76,-96.0741,-324.24
0.335949,6.24369,4.08579,0.974428,1.80082,0.339907,0.163016,5.81126,-0.811412,6.14358,0,0.32542,3.77941,0.244242,0.226966,364.329987,274.000000,319.164993,1086.000000,192.031,206.105,199.068,777.448,-120.097,-308.552
0.356124,6.43953,4.41384,0.997165,2.11581,0.414115,0.180807,5.89002,-0.816358,6.41814,0,0.4382,4.1794,0.228726,0.212122,273.100006,288.820007,280.960007,1090.000000,214.137,227.238,220.688,842.679,-60.2724,-247.321
0.376294,6.68133,4.84307,1.02804,2.45366,0.496246,0.196722,6.06367,-0.831321,6.1293,0,0.250583,4.4538,0.195186,0.17422,213.929993,300.839996,257.384995,1144.000000,227.989,239.097,233.543,946.58,-23.8422,-197.42
0.396482,6.91149,5.26673,1.05434,2.81879,0.586154,0.209736,6.21755,-0.8446,6.3508,0,0.292786,4.73362,0.154157,0.130535,299.329987,323.000000,311.164993,1038.000000,243.901,252.354,248.127,939.8,-63.0376,-98.2005
0.416618,7.13369,5.66595,1.07007,3.19927,0.679964,0.219156,6.35135,-0.850913,7.18017,0,0.236056,5.01206,0.10896,0.0953078,312.500000,451.750000,382.125000,1112.000000,260.403,266.15,263.276,980.858,-118.849,-131.142
0.43684,7.43198,6.25363,1.08833,3.60517,0.779323,0.225484,6.67926,-0.862847,7.18009,0,0.15583,5.29767,0.0736059,0.0599919,313.910004,323.750000,318.830002,1203.000000,274.112,278.001,276.057,1114.51,-42.7735,-88.4905
0.456972,7.68528,6.75543,1.0969,4.03412,0.883348,0.229158,6.91464,-0.867738,7.32442,0,0.107573,5.63608,0.039451,0.0250251,313.910004,323.750000,318.830002,1203.000000,294.073,295.623,294.848,1128.74,-23.9824,-74.2559
0.477171,7.90817,7.1938,1.10283,4.48797,0.991682,0.230725,7.08266,-0.872106,7.51541,0,0.0500468,6.08228,0.0191038,0.0224927,335.570007,337.380005,336.475006,1353.000000,317.522,318.984,318.253,1205.67,-18.222,-147.333
0.497339,8.18125,7.73772,1.1081,4.98124,1.10928,0.23187,7.36045,-0.876226,7.24363,0,0.0693977,6.36009,0.0159355,0.0185566,335.570007,337.380005,336.475006,1331.000000,332.403,333.542,332.972,1265.33,-3.50256,-65.6713
0.517575,8.39862,8.17896,1.11374,5.49607,1.23294,0.233785,7.52808,-0.87995,8.10441,0,0.0367259,6.72692,0.0281415,0.0420925,335.570007,337.380005,336.475006,1342.000000,350.717,353.284,352,1350.51,15.5254,8.51372
0.537739,8.7464,8.88799,1.11772,6.01965,1.36212,0.237707,8.00462,-0.880009,7.71126,0,0.0578496,6.93648,0.0625979,0.0718283,272.929993,385.450012,329.190002,1331.000000,361.222,365.478,363.35,1374.17,34.1601,43.1738
0.557912,9.0037,9.4035,1.12513,6.57514,1.50666,0.244471,8.26184,-0.880658,7.88007,0,0.083791,7.11206,0.133709,0.108596,388.320007,381.450012,384.885010,1360.000000,370.094,376.665,373.379,1365.27,-11.5056,5.27178
0.57813,9.32271,10.0346,1.13107,7.13054,1.66239,0.257029,8.65449,-0.874043,7.91827,0,0.14532,7.16325,0.201482,0.201311,373.920013,373.690002,373.805008,1419.000000,369.986,382.282,376.134,1396.21,2.32876,-22.7851
0.598304,9.58943,10.5938,1.14559,7.68436,1.8354,0.277501,8.96316,-0.868094,8.21749,0,0.23138,7.12872,0.318059,0.316012,372.690002,391.730011,382.210007,1452.000000,365.926,385.295,375.611,1365.85,-6.59946,-86.1512
0.618466,9.85997,11.2153,1.176,8.22644,2.0299,0.306943,9.32955,-0.869062,8.85729,0,0.425825,7.02318,0.423998,0.417575,353.809998,399.739990,376.774994,1499.000000,358.432,384.085,371.259,1342.62,-5.5161,-156.385
0.638683,10.1045,11.8334,1.21559,8.74335,2.24385,0.343359,9.68563,-0.872232,6.30191,0,0.621718,6.82805,0.501639,0.488325,352.410004,374.029999,363.220001,1265.000000,347.132,377.544,362.338,1285.38,-0.882247,20.3799
0.65882,10.2958,12.3601,1.2584,9.23747,2.47562,0.382901,9.94099,-0.875494,8.60923,0,0.6723,6.62358,0.521102,0.507577,377.420013,383.910004,380.665009,1364.000000,336.404,367.773,352.089,1246.31,-28.5765,-117.694
0.679041,10.4466,12.9404,1.30388,9.70797,2.72412,0.424781,10.2429,-0.879098,7.38649,0,0.734337,6.63669,0.561576,0.544036,346.260010,393.329987,369.794998,1316.000000,335.745,369.281,352.513,1338.58,-17.2821,22.5832
0.699509,10.6026,13.6346,1.36618,10.1872,3.0046,0.468618,10.6381,-0.897565,7.12466,0,0.696162,6.9219,0.560631,0.544962,342.839996,370.700012,356.770004,1214.000000,350.73,384.305,367.518,1228.77,10.7475,14.7737
0.719369,10.6792,14.2244,1.42251,10.6339,3.2916,0.50991,10.9329,-0.912598,7.09723,0,0.677414,6.4074,0.525318,0.505231,327.649994,184.199997,255.924995,1232.000000,326.269,357.802,342.035,1105.32,86.1105,-126.676
0.739568,10.746,14.7676,1.47559,11.0431,3.57721,0.547793,11.1944,-0.927798,6.68847,0,0.689053,6.04849,0.473275,0.450655,239.229996,368.619995,303.924995,1166.000000,307.283,335.403,321.343,1135.18,17.4183,-30.8171
0.759801,10.7647,15.2774,1.51991,11.4343,3.86927,0.582646,11.4277,-0.937265,6.39682,0,0.561837,5.86391,0.432242,0.410942,310.329987,341.529999,325.929993,1112.000000,298.315,324.038,311.177,1105.78,-14.7535,-6.21508
0.77994,10.7578,15.9523,1.57069,11.7947,4.15524,0.613897,11.8426,-0.956793,6.40115,0,0.564141,5.67147,0.402747,0.382784,310.950012,340.510010,325.730011,1119.000000,288.797,312.726,300.762,1066.08,-24.9684,-52.9199
0.800161,10.7128,16.5869,1.62098,12.1393,4.44528,0.643843,12.2251,-0.977136,6.13325,0,0.434409,5.40804,0.389347,0.36006,292.809998,321.750000,307.279999,1064.000000,276.731,299.157,287.944,962.804,-19.3356,-101.196
0.820385,10.6818,17.0495,1.65575,12.4547,4.72761,0.672291,12.4488,-0.98346,6.03472,0,0.478126,5.08886,0.378411,0.348001,281.470001,306.369995,293.919998,1046.000000,259.336,281.111,270.223,942.463,-23.6967,-103.537
0.840552,10.6302,17.3833,1.68665,12.7465,5.0065,0.700977,12.5564,-0.985669,5.70655,0,0.503425,4.81563,0.379481,0.349891,270.040009,293.980011,282.010010,965.000000,245.477,267.288,256.382,870.172,-25.6275,-94.8281
0.860695,10.521,18.0383,1.73952,13.0117,5.27726,0.72947,13.0018,-1.01005,5.5662,0,0.495927,4.54698,0.382515,0.355237,260.739990,295.299988,278.019989,943.000000,231.546,253.734,242.64,812.839,-35.3802,-130.161
0.880857,10.4083,18.534,1.78186,13.2491,5.53875,0.759063,13.3022,-1.02279,5.4447,0,0.583465,4.24559,0.407796,0.382512,246.690002,280.269989,263.479996,947.000000,215.257,238.77,227.013,783.508,-36.4667,-163.492
0.901325,10.2905,18.958,1.82572,13.4644,5.7976,0.791185,13.5378,-1.03454,5.28392,0,0.569933,4.06617,0.445612,0.409422,239.050003,277.589996,258.320000,998.000000,205.617,230.744,218.181,768.523,-40.1394,-229.477
0.921302,10.167,19.3283,1.87307,13.6591,6.05433,0.825491,13.7256,-1.04758,4.98559,0,0.644148,3.79099,0.457526,0.417766,237.369995,270.910004,254.139999,929.000000,190.738,216.629,203.683,760.006,-50.4566,-168.994
0.94147,10.0263,19.7353,1.93676,13.8305,6.30231,0.860138,13.9612,-1.07662,4.61664,0,0.718316,3.5018,0.44934,0.41257,226.649994,262.549988,244.599991,896.000000,176.722,202.473,189.598,708.587,-55.0023,-187.413
0.961635,9.84359,20.0981,1.98962,13.9813,6.5406,0.894211,14.1748,-1.09541,5.30749,0,0.829181,3.45909,0.46487,0.430573,244.860001,264.209991,254.534996,859.000000,174.431,200.737,187.584,668.287,-66.9514,-190.713
0.981859,9.67869,20.3596,2.04598,14.1201,6.78074,0.929192,14.2867,-1.11678,5.26964,0,0.759105,3.3051,0.457791,0.431442,212.979996,245.479996,229.229996,1002.000000,166.347,192.244,179.296,621.905,-49.9342,-380.095
1.00199,9.35963,20.8564,2.11322,14.2395,7.00683,0.962335,14.6841,-1.15088,4.3653,0,0.769978,2.95019,0.420184,0.382918,215.669998,216.940002,216.305000,713.000000,149.005,172.748,160.876,531.776,-55.4285,-181.224
1.02217,9.18383,21.0639,2.17469,14.3388,7.2085,0.990853,14.7833,-1.18384,5.9858,0,0.651103,2.5708,0.33342,0.309029,209.169998,260.089996,234.629997,1053.000000,129.871,148.895,139.383,466.647,-95.2467,-586.353
1.0424,8.97787,21.3494,2.22172,14.4221,7.38322,1.0131,14.9898,-1.20863,3.05078,0,0.634408,2.20841,0.262142,0.23243,213.020004,250.300003,231.660004,585.000000,111.251,126.054,118.653,440.74,-113.007,-144.26
1.06257,8.67269,21.669,2.2775,14.4951,7.53871,1.03051,15.2829,-1.24699,4.86579,0,0.577979,1.97209,0.200358,0.18991,211.429993,236.339996,223.884995,709.000000,99.6936,111.3,105.497,369.922,-118.388,-339.078
1.08284,8.42417,21.8976,2.31231,14.5572,7.67238,1.04398,15.491,-1.26833,4.91492,0,0.523443,1.58053,0.147435,0.129303,208.580002,227.399994,217.989998,918.000000,79.4774,87.6347,83.556,600.215,-134.434,-317.785
1.10297,8.04606,22.2485,2.35269,14.6197,7.80786,1.05622,15.8664,-1.29647,3.72049,0,0.363481,2.07553,0.17751,0.165711,210.509995,232.130005,221.320000,614.000000,103.516,113.337,108.426,500.323,-112.894,-113.677
1.1231,7.86944,22.4218,2.37709,14.6949,7.97357,1.07,15.9793,-1.3071,4.80562,0,0.412875,2.19015,0.171634,0.15687,204.820007,225.350006,215.085007,1013.000000,110.036,119.931,114.983,484.43,-100.102,-528.57
1.14333,7.61019,22.6332,2.4091,14.7643,8.13073,1.0824,16.1711,-1.3267,3.74007,0,0.409863,2.11362,0.162173,0.147735,209.800003,238.500000,224.150002,614.000000,107.523,116.812,112.167,434.641,-111.983,-179.359
1.16348,7.28133,22.8957,2.45064,14.8316,8.28642,1.09401,16.445,-1.35664,5.67901,0,0.34255,2.00828,0.146572,0.139336,203.289993,225.229996,214.259995,1009.000000,101.84,110.094,105.967,362.156,-108.293,-646.844
1.1837,7.0184,23.0746,2.46948,14.8948,8.43707,1.10514,16.6221,-1.36434,3.93113,0,0.385181,2.24005,0.163394,0.151833,208.720001,229.360001,219.040001,687.000000,113.774,123.075,118.424,570.582,-100.616,-116.418
1.20389,6.5665,23.4081,2.51109,14.9714,8.62475,1.1186,17.0056,-1.39249,6.23933,0,0.37277,2.6678,0.187508,0.176294,210.509995,231.220001,220.864998,812.000000,135.705,146.81,141.258,515.833,-79.6075,-296.167
1.22406,6.28627,23.5869,2.53576,15.0562,8.84194,1.13429,17.156,-1.40146,5.01721,0,0.33267,3.11172,0.227352,0.210621,222.539993,237.190002,229.864998,866.000000,157.793,170.839,164.316,651.267,-65.5494,-214.733
1.24425,5.95385,23.7853,2.56577,15.1506,9.09843,1.1533,17.3288,-1.41246,5.16265,0,0.327428,3.64232,0.275621,0.255794,223.770004,249.949997,236.860001,892.000000,184.412,200.174,192.293,775.115,-44.5671,-116.885
1.26447,5.59929,24.0083,2.59547,15.2524,9.39515,1.17559,17.5136,-1.41988,5.66268,0,0.362343,4.06462,0.31296,0.29121,238.139999,263.489990,250.814995,950.000000,206.146,224.076,215.111,832.783,-35.7035,-117.217
1.28458,5.22183,24.2048,2.62414,15.3538,9.71928,1.20078,17.6773,-1.42336,6.0941,0,0.417359,4.29258,0.354356,0.32413,242.059998,264.940002,253.500000,998.000000,218.103,238.285,228.194,842.691,-25.306,-155.309
1.30504,4.83472,24.3948,2.66162,15.448,10.0562,1.22809,17.8392,-1.43352,5.70514,0,0.521797,4.35971,0.373421,0.349746,343.220001,240.800003,292.010002,1002.000000,220.92,242.38,231.65,850.904,-60.3603,-151.096
1.32501,4.35951,24.6088,2.71254,15.5327,10.3996,1.25671,18.076,-1.45583,5.72945,0,0.542308,4.41778,0.39103,0.358594,257.730011,289.019989,273.375000,925.000000,223.767,246.079,234.923,862.102,-38.452,-62.8982
1.34517,3.98631,24.7714,2.74681,15.6125,10.7678,1.28686,18.2009,-1.45995,6.28494,0,0.497265,4.81423,0.403016,0.374038,259.440002,283.769989,271.604996,1112.000000,243.37,266.485,254.927,998.597,-16.6777,-113.403
1.36533,3.63979,24.8834,2.77721,15.6858,11.1552,1.31697,18.2639,-1.46025,5.26813,0,0.509772,4.99231,0.397305,0.379862,266.640015,311.880005,289.260010,954.000000,251.468,274.489,262.979,1117.88,-26.2814,163.883
1.38557,3.19299,25.0363,2.81959,15.7547,11.5776,1.34792,18.4101,-1.47167,6.20675,0,0.52627,5.44413,0.402559,0.384201,270.679993,302.739990,286.709991,1027.000000,275.723,299.568,287.646,1113.13,0.935604,86.1295
1.40576,2.69283,25.149,2.85987,15.8159,12.0217,1.37783,18.5618,-1.48205,7.08223,0,0.500952,5.68957,0.377958,0.363451,276.850006,308.029999,292.440002,1144.000000,288.979,311.534,300.256,1158.09,7.81613,14.0869
