elapsed_s,real_x,real_y,real_yaw,sim_x,sim_y,sim_yaw,position_error,heading_error,real_velocity_x,real_velocity_y,real_yaw_rate,sim_velocity_x,sim_velocity_y,sim_yaw_rate,real_fl_rpm,real_fr_rpm,real_front_rpm,real_motor_rpm,sim_fl_rpm,sim_fr_rpm,sim_front_rpm,sim_motor_rpm,front_wheel_rpm_error,motor_rpm_error
0.0125166,-0.000370859,-0.000270239,1.61695e-06,0.00707128,0.000702962,1.26043e-05,0.0075055,1.09874e-05,0.14475,0,-0.000296791,0.368249,0.00331921,0.00469967,0.000000,0.000000,0.000000,58.000000,20.7825,20.9334,20.858,406.111,20.858,348.111
0.032316,0.0294319,-0.000270493,-0.000218806,0.0670495,0.000714386,-5.97929e-05,0.0376305,0.000159014,-0.395557,0,-0.0232905,1.13897,0.00112981,-0.00232969,0.000000,0.000000,0.000000,-3.000000,59.517,59.4948,59.5059,310.224,59.5059,313.224
0.0521668,0.0376206,0.00225662,-0.0010211,0.186927,0.000303669,-0.000540117,0.149319,0.000480984,0.206536,0,-0.00568254,1.83839,-0.0118579,-0.0158414,0.080000,0.080000,0.080000,102.000000,95.8641,95.1062,95.4852,467.737,95.4052,365.737
0.0719544,0.0909504,0.00219645,-0.00111711,0.362114,-0.00220625,-0.00282908,0.2712,-0.00171197,0.982289,0,0.00772511,2.54805,-0.0466255,-0.0477626,29.440001,24.830000,27.135000,215.000000,134.229,131.654,132.941,574.867,105.806,359.867
0.0918105,0.147265,-0.00646286,-0.000995484,0.588564,-0.00888795,-0.00819405,0.441305,-0.00719857,1.11534,0,-0.00589723,3.24566,-0.0970782,-0.0938908,48.509998,52.520000,50.514999,277.000000,172.381,166.764,169.573,721.617,119.058,444.617
0.11167,0.249866,-0.00820066,-0.00422702,0.876636,-0.022831,-0.0180366,0.62694,-0.0138096,2.02949,0,-0.0528271,3.93293,-0.163407,-0.159021,85.589996,80.150002,82.869999,362.000000,210.505,201.088,205.797,867.809,122.927,505.809
0.131598,0.314778,0.0370513,-0.011735,1.21358,-0.0470241,-0.033113,0.902721,-0.021378,2.04921,0,-0.0943505,4.51248,-0.227064,-0.22365,119.080002,104.309998,111.695000,446.000000,243.41,229.705,236.558,969.846,124.863,523.846
0.151488,0.525409,0.033629,-0.021957,1.5861,-0.0829025,-0.0523583,1.06708,-0.0304012,2.29829,0,-0.178612,4.92244,-0.272997,-0.272048,133.600006,121.800003,127.700005,398.000000,267.477,250.857,259.167,990.621,131.467,592.621
0.171357,0.736914,0.0223915,-0.0336959,1.98758,-0.131143,-0.0741773,1.26006,-0.0404814,2.81234,0,-0.132532,5.23725,-0.293828,-0.274148,147.529999,121.650002,134.590000,490.000000,283.93,266.889,275.41,1043.95,140.82,553.952
0.191151,0.894351,0.00397182,-0.043312,2.41208,-0.190935,-0.0963704,1.53019,-0.0530584,3.46836,0,-0.158938,5.4592,-0.290161,-0.270368,147.529999,121.650002,134.590000,599.000000,295.907,278.902,287.404,1073.52,152.814,474.516
0.211148,1.16348,-0.0174334,-0.0553133,2.84243,-0.259307,-0.117344,1.69629,-0.0620307,3.1299,0,-0.16637,5.67325,-0.267759,-0.269759,147.529999,121.650002,134.590000,596.000000,306.618,289.858,298.238,1149.4,163.648,553.405
0.230953,1.41439,-0.0378937,-0.0671693,3.29884,-0.338495,-0.137196,1.90827,-0.070027,2.79038,0,-0.107196,5.86083,-0.237348,-0.238563,175.339996,151.350006,163.345001,541.000000,315.416,300.568,307.992,1157.51,144.647,616.511
0.250826,1.67303,-0.0565137,-0.0759398,3.76303,-0.424322,-0.154194,2.12212,-0.0782539,3.51408,0,-0.117709,5.92015,-0.195294,-0.19751,163.830002,159.419998,161.625000,523.000000,316.324,303.84,310.082,1188.07,148.457,665.07
