elapsed_s,real_x,real_y,real_yaw,sim_x,sim_y,sim_yaw,position_error,heading_error,real_velocity_x,real_velocity_y,real_yaw_rate,sim_velocity_x,sim_velocity_y,sim_yaw_rate,real_fl_rpm,real_fr_rpm,real_front_rpm,real_motor_rpm,sim_fl_rpm,sim_fr_rpm,sim_front_rpm,sim_motor_rpm,front_wheel_rpm_error,motor_rpm_error
0.0153687,1.97152,0.346077,0.254192,-0.000413341,0.000664707,0,2.00196,-0.254192,4.16057,0,0.749266,0,0,0,169.169998,214.330002,191.750000,738.000000,0,0,0,0,-191.75,-738
0.0353905,2.26671,0.469568,0.313198,-0.000413843,0.000664707,-1.24287e-10,2.31511,-0.313198,2.84301,0,0.678683,-0.00022631,-1.57049e-07,-2.51152e-07,172.149994,207.190002,189.669998,625.000000,0.000208245,0.000208556,0.0002084,-9.18624,-189.67,-634.186
0.0554719,2.61859,0.581608,0.367531,0.0131687,0.00205496,0.00131943,2.6691,-0.366212,5.03243,0,0.659962,0.380212,0.0365966,0.0445705,166.179993,206.339996,186.259995,764.000000,19.2532,21.7362,20.4947,131.159,-165.765,-632.841
0.0755707,2.88017,0.738348,0.421175,0.0622734,0.0078011,0.00647425,2.91106,-0.414701,3.72313,0,0.607966,0.830252,0.0972829,0.0932202,166.619995,210.470001,188.544998,654.000000,41.7171,47.938,44.8276,165.454,-143.717,-488.546
0.0956636,3.19576,0.925622,0.466593,0.121139,0.015584,0.0130558,3.20647,-0.453537,4.68578,0,0.522853,0.573041,0.074354,0.0633811,175.360001,197.250000,186.305000,698.000000,32.5559,36.3524,34.4542,123.031,-151.851,-574.969
0.115747,3.44471,1.05752,0.508317,0.176811,0.023563,0.0195644,3.42757,-0.488752,4.13245,0,0.576269,0.818593,0.104514,0.0921124,178.320007,209.350006,193.835007,779.000000,37.6562,44.7154,41.1858,259.822,-152.649,-519.178
0.135889,3.71549,1.25948,0.558628,0.248241,0.0340682,0.0276467,3.67742,-0.530981,3.22465,0,0.547054,0.771147,0.100833,0.088776,161.440002,212.259995,186.849998,599.000000,35.165,40.6375,37.9012,404.671,-148.949,-194.329
0.155927,4.00841,1.49232,0.60784,0.32537,0.0460917,0.0364495,3.95681,-0.571391,4.45786,0,0.552673,1.1239,0.139634,0.123792,191.630005,222.020004,206.825005,771.000000,54.2381,62.356,58.297,248.235,-148.528,-522.765
0.176227,4.15975,1.64319,0.641561,0.421009,0.0617037,0.0470357,4.05947,-0.594525,4.46985,0,0.564549,1.13605,0.126864,0.124479,191.660004,221.509995,206.584999,775.000000,55.0056,62.7333,58.8694,221.042,-147.716,-553.958
0.196173,4.45335,1.87239,0.684893,0.515754,0.0776405,0.0569923,4.32733,-0.627901,4.3998,0,0.572295,1.25705,0.147868,0.141418,193.589996,226.940002,210.264999,735.000000,65.3193,74.03,69.6747,167.017,-140.59,-567.983
0.216266,4.62764,2.05281,0.722183,0.621879,0.0964575,0.0681912,4.45796,-0.653992,4.94238,0,0.563606,1.62848,0.174438,0.159359,202.630005,220.929993,211.779999,845.000000,82.0559,91.9262,86.991,387.523,-124.789,-457.477
0.236343,4.95277,2.38512,0.771344,0.759813,0.121602,0.0816709,4.76491,-0.689673,4.3794,0,0.562596,1.77147,0.172398,0.165052,204.350006,233.779999,219.065002,731.000000,89.0988,98.5986,93.8487,365.148,-125.216,-365.852
0.256446,5.21995,2.7101,0.821826,0.919572,0.151804,0.0963946,5.00381,-0.725432,5.00607,0,0.417669,2.16235,0.212834,0.194861,203.190002,221.160004,212.175003,833.000000,109.033,120.91,114.971,437.288,-97.2039,-395.712
0.276559,5.47365,2.99213,0.85489,1.09844,0.188311,0.112786,5.19653,-0.742104,4.90817,0,0.450655,2.42429,0.232192,0.215986,215.289993,269.980011,242.635002,855.000000,122.488,135.665,129.076,484.546,-113.559,-370.454
0.296588,5.65345,3.28467,0.891699,1.30474,0.233174,0.130943,5.31252,-0.760756,5.33892,0,0.456901,2.91987,0.257831,0.240087,224.779999,255.410004,240.095001,925.000000,147.323,161.939,154.631,688.258,-85.4641,-236.742
0.31675,5.93195,3.64273,0.928386,1.55722,0.290717,0.150977,5.51129,-0.77741,5.74716,0,0.486961,3.41995,0.268612,0.247635,188.649994,262.549988,225.599991,1020.000000,173.641,189.026,181.334,691.993,-44.2663,-328.007
0.336802,6.16672,4.04401,0.967946,1.84468,0.359019,0.170888,5.67972,-0.797058,6.14358,0,0.32542,3.84128,0.248375,0.225348,364.329987,274.000000,319.164993,1086.000000,195.207,209.5,202.354,803.561,-116.811,-282.439
0.356863,6.36335,4.36877,0.990555,2.16022,0.435811,0.188583,5.75625,-0.801971,6.41814,0,0.430954,4.22618,0.231307,0.215629,273.100006,288.820007,280.960007,1090.000000,216.098,229.247,222.672,855.85,-58.2876,-234.15
0.376967,6.60798,4.79639,1.02143,2.49982,0.521023,0.204508,5.92923,-0.816926,6.1293,0,0.250583,4.51442,0.195014,0.175004,213.929993,300.839996,257.384995,1144.000000,231.027,242.125,236.576,959.677,-20.8093,-184.323
