elapsed_s,evals,tag,score,position_rmse,velocity_rmse
1.17904,9,sa,1.02771e+07,0.618396,0.622069
1.58229,12,sa,1.03161e+07,0.622052,0.624169
1.9931,17,sa,1.03241e+07,0.609732,0.636923
2.4077,20,sa,1.06469e+07,0.638864,0.659372
2.57816,21,sa,1.27543e+07,0.6329,0.735567
3.05995,24,sa,2.48307e+07,0.6349,0.669772
4.62458,37,sa,2.48395e+07,0.634061,0.669524
4.77626,39,sa,2.48806e+07,0.629707,0.687912
7.45901,58,sa,6.24172e+07,0.657093,0.624238
9.74884,69,sa,6.25535e+07,0.655448,0.663156
10.7335,74,sa,8.10384e+07,0.63491,0.634289
13.1957,84,sa,8.13271e+07,0.658142,0.619114
17.7976,103,sa,8.41799e+07,0.645731,0.643945
21.9062,119,sa,8.9866e+07,0.654513,0.669014
26.2519,135,sa,9.59897e+07,0.659308,0.618853
36.4959,171,sa,9.60207e+07,0.660062,0.619067
40.1556,182,sa,9.60293e+07,0.659651,0.618521
160.397,544,sa,9.64165e+07,0.649563,0.64017
175.083,583,sa,9.64505e+07,0.649608,0.637835
188.831,616,sa,9.67125e+07,0.642026,0.617651
192.552,625,sa,9.73911e+07,0.643003,0.611766
196.352,638,sa,9.88197e+07,0.639194,0.605132
203.994,658,sa,9.8851e+07,0.651187,0.611475
216.4,693,sa,9.91954e+07,0.652456,0.615321
