t_rel,sim_x,sim_y,real_x,real_y,pos_err,sim_vx,sim_vy,real_vx,real_vy,vel_err,sim_yaw,real_yaw,yaw_err,sim_yaw_rate,real_yaw_rate,sim_motor_rpm,real_motor_rpm,sim_front_rpm,real_front_rpm,throttle_rl,steering
0.000172153,6.10504e-05,5.64591e-09,-1.00311e-07,2.43955e-14,6.11507e-05,0.354581,6.52473e-05,0.362385,0,0.007804,-2.27086e-07,-4.86666e-07,2.5958e-07,-0.0013042,-0.00133367,0,0,0.0616776,0,0.6,-0.00512692
0.000228108,8.08898e-05,9.86274e-09,-1.00311e-07,2.43955e-14,8.09901e-05,0.35454,8.56193e-05,0.370177,0,0.0156366,-2.99688e-07,-4.86666e-07,1.86978e-07,-0.00129083,-0.00133117,0.0875357,0,0.093771,0,0.6,-0.00512692
0.000365937,0.000129745,2.4881e-08,-1.98168e-07,9.07372e-14,0.000129943,0.35438,0.000132134,0.378051,0,0.0236716,-4.73794e-07,-8.68807e-07,3.95013e-07,-0.00123572,-0.00132671,0.132558,0,0.245414,0,0.6,-0.00512692
0.000463239,0.00016422,3.91864e-08,-1.98168e-07,9.07372e-14,0.000164418,0.354237,0.000162028,0.386009,0,0.0317715,-5.91637e-07,-8.68807e-07,2.7717e-07,-0.00118654,-0.00132031,0.344067,0,0.387643,0,0.6,-0.00512692
0.000611307,0.00021665,6.6074e-08,-2.99093e-07,1.56672e-13,0.000216949,0.353955,0.000200858,0.394049,0,0.0400946,-7.60092e-07,-4.3757e-07,-3.22522e-07,-0.00108911,-0.00131233,0.541175,0,0.683534,0,0.6,-0.00512692
0.000711184,0.000251991,8.7218e-08,-2.99093e-07,1.56672e-13,0.00025229,0.353735,0.000222737,0.402173,0,0.0484374,-8.65134e-07,-4.3757e-07,-4.27564e-07,-0.00101441,-0.00130283,0.950885,0,0.917567,0,0.6,-0.00512692
0.000825178,0.000292298,1.13731e-07,-4.05335e-07,8.22078e-14,0.000292703,0.353448,0.000242522,0.410379,0,0.0569308,-9.75274e-07,1.83933e-06,-2.8146e-06,-0.000918124,-0.00129179,1.2749,0,1.22834,0,0.6,-0.00512692
0.000934974,0.000331088,1.41099e-07,-4.05335e-07,8.22078e-14,0.000331494,0.353139,0.000256176,0.418668,0,0.0655292,-1.07049e-06,1.83933e-06,-2.90982e-06,-0.000816487,-0.00127947,1.70681,168,1.5663,0,0.6,-0.00512692
0.0010593,0.000374967,1.73474e-07,-4.05335e-07,8.22078e-14,0.000375373,0.352748,0.000264675,0.42704,0,0.0742917,-1.16423e-06,1.83933e-06,-3.00355e-06,-0.00069164,-0.00126587,2.17884,168,1.99611,0,0.6,-0.00512692
0.00115346,0.000408169,1.98462e-07,0.000293781,1.01181e-09,0.000114388,0.35243,0.000266429,0.435316,0,0.0828852,-1.22469e-06,5.03881e-06,-6.26351e-06,-0.000592689,-0.00125115,2.78327,168,2.34705,0,0.6,-0.00512692
0.00453617,0.0015704,-6.25533e-07,0.000293781,1.01181e-09,0.00127662,0.333468,-0.000616219,0.443497,0,0.110029,5.46147e-07,5.03881e-06,-4.49267e-06,0.000275235,-0.00123531,34.253,168,21.7596,0,0.6,-0.00512692
0.00469562,0.0016235,-7.211e-07,0.00323242,6.27783e-08,0.00160892,0.332521,-0.000581861,0.451587,0,0.119066,5.7907e-07,3.69986e-05,-3.64196e-05,0.000138153,-0.00121834,36.5934,168,22.5425,0,0.6,-0.00512692
0.0120328,0.00398897,-1.94352e-06,0.00323242,6.27783e-08,0.000756546,0.323521,-0.000892849,0.459587,0,0.136066,-1.15028e-06,3.69986e-05,-3.81489e-05,-0.000372711,-0.00120024,83.3131,168,4.03401,0,0.6,-0.00512692
0.0121621,0.00403081,-2.05586e-06,0.00956791,3.82231e-07,0.0055371,0.323821,-0.000843757,0.467499,0,0.143678,-1.20226e-06,6.38469e-05,-6.50491e-05,-0.000431211,-0.00118103,82.1341,168,3.80677,0,0.6,-0.00512692
