try,kind,score,param.motor.kt_constant,param.inverter.max_phase_current,param.inverter.acceleration_delay_ms,param.inverter.efficiency,param.battery.max_discharge_current,param.battery.initial_soc,param.battery.min_voltage,param.transmission.viscous_drag_coeff,param.transmission.coulomb_drag,param.transmission.efficiency,param.transmission.t_max,param.transmission.kv,param.car.front_bearing_drag,param.steering.ackerman_factor,param.steering_motor.time_constant,param.aero.lift_coefficient,param.aero.drag_coefficient,param.aero.aero_balance_front,param.tire.effective_tire_r,param.tire.slip_ratio_relaxation_length,param.tire.slip_angle_relaxation_length,param.tire.longitudinal_peak_scale,param.tire.longitudinal_stiffness_scale,param.tire.lateral_peak_scale,param.tire.lateral_stiffness_scale,param.tire.longitudinal_peak_pdx1,param.tire.longitudinal_stiffness_pkx1,param.tire.longitudinal_curvature_pex1,param.tire.lateral_peak_pdy1,param.tire.lateral_stiffness_pky1,param.tire.lateral_curvature_pey1,param.tire.combined_slip_lateral_scale,param.tire.structural_longitudinal_stiffness,param.tire.structural_lateral_stiffness,param.tire.structural_yaw_stiffness,stage,parameter,step_size,search_radius,position_rmse,heading_rmse,velocity_rmse,velocity_x_rmse,velocity_y_rmse,yaw_rate_rmse,front_wheel_rpm_rmse,motor_rpm_rmse,samples,error
0,staged_genetic,45.63630249107058,0.61,285.0,500.0,0.97,175.0,0.85,360.0,0.01,2.0,0.95,300.0,40.0,0.25,0.0,0.112,0.86,0.73,0.5,0.2275,0.05,0.05,1.0,1.0,1.0,1.0,1.15,85.31,0.871,2.3749,-38.9068,0.53284,1.0,300000.0,100000.0,5000.0,longitudinal_acceleration,,,,16.506389952665767,0.1413932361578632,4.118583330378654,4.116423272484851,0.13337200237698865,0.1486969643001415,237.00882645426265,813.9419606245082,164,
1,staged_genetic,44.04238624215311,0.6543601054931882,288.69023730567585,381.8055460994125,0.9448540782506208,189.49363298245663,0.8564065739805479,367.6902134178298,0.04079041300833313,0.0,0.9269484182726666,288.9642125345674,30.322822954436134,0.20203871077833574,0.0,0.112,0.86,0.73,0.5,0.2309352305838186,0.009613245884636037,0.05,0.7920151342071122,1.2490256697853446,1.0,1.0,1.0891649034040312,53.5707716249387,0.6067666914144054,2.3749,-38.9068,0.53284,1.0,346342.07222538104,100000.0,5000.0,longitudinal_acceleration,,,,15.058194388374792,0.08987740928380045,3.9832729493358574,3.981337622146034,0.12415364430951968,0.17274738720586016,230.35902952287003,791.420395026336,149,
2,staged_genetic,42.86607467027869,0.6214369272037096,286.4641161957659,557.8047081384826,0.9615525505741749,190.16127764737567,0.91527706873889,350.590017330642,0.008250159284092453,1.0050739904980168,0.9306423524281139,262.8363988625519,41.313850506047416,0.10054588591567659,0.0,0.112,0.86,0.73,0.5,0.22680312369606465,0.06915637879528737,0.05,0.8909400009238362,1.3472913406261229,1.0,1.0,0.868623099952162,89.66246065697881,0.8502232780069124,2.3749,-38.9068,0.53284,1.0,388788.5325324454,100000.0,5000.0,longitudinal_acceleration,,,,16.424144044107994,0.0994881595948137,3.6995437353302028,3.6962958388853275,0.15498684157036313,0.14561814088552,221.51969726492987,852.7046824671967,182,
3,staged_genetic,61.44806464091468,0.6471834539539961,385.01342374399405,558.0845099763114,0.9718700206667199,168.28342718171035,0.8583408169977143,316.0243187536074,0.0,1.534992961691526,0.914594954954139,288.36684344617044,35.78181647909198,0.661030250890872,0.0,0.112,0.86,0.73,0.5,0.22218132550895506,0.07679597441097201,0.05,1.3760724782691274,0.7719598565931799,1.0,1.0,0.7604099978410294,48.77324116612392,0.7876390823168216,2.3749,-38.9068,0.53284,1.0,294012.13955006696,100000.0,5000.0,longitudinal_acceleration,,,,23.007880418556834,0.07829793456935905,5.73255760446319,5.731390131569718,0.11568858298898978,0.13733144714005494,296.9654809571623,1056.70825746778,174,
4,staged_genetic,62.792831309212154,0.6199229272828426,297.37264649301073,405.893098494264,0.9753186556968094,172.0922697229786,0.8555578486686392,331.4370929902947,0.0,1.5941157974692521,0.9570441417824476,345.7114355425606,26.174467081626275,0.8846549096370826,0.0,0.112,0.86,0.73,0.5,0.2229063717466831,0.04843274754420274,0.05,0.8838204141505017,0.9013202851944496,1.0,1.0,0.9682207234687853,73.82926175564145,1.0014261296777172,2.3749,-38.9068,0.53284,1.0,321337.45145334,100000.0,5000.0,longitudinal_acceleration,,,,23.05237523160633,0.07893800875886962,5.870851848081408,5.869921783322957,0.10449727169416315,0.13939237823549327,304.1290165485901,1078.5705289422174,172,
5,staged_genetic,44.30176690405938,0.6983626796435437,335.86146942553745,549.3613109327785,0.946425533510799,154.99304848632337,0.871591856875221,337.59676339447896,0.0,0.22187200541430108,0.99,262.4727591031106,43.72023712034168,0.4513291559730126,0.0,0.112,0.86,0.73,0.5,0.22293433656204492,0.15120792860358595,0.05,1.2247653443068436,1.4504331194431213,1.0,1.0,0.8281967732794915,90.27141617284724,1.0643207092179516,2.3749,-38.9068,0.53284,1.0,352531.56087556493,100000.0,5000.0,longitudinal_acceleration,,,,16.67890451048881,0.08965477611463184,4.019883745810488,4.017802895160058,0.12932604329679112,0.11448814962660715,224.63883323554506,786.0376497616367,168,
6,staged_genetic,48.616408765791924,0.6059476135908064,219.6329962849307,647.1869978402437,0.9684789305206768,163.05993732379974,0.7961728047237614,349.97768609280854,0.0,0.9977947588704086,0.9594323411728962,296.2316418157037,36.28614241185763,0.11288155276508768,0.0,0.112,0.86,0.73,0.5,0.22779072917018933,0.08761122958533654,0.05,0.8011505498750313,0.8418988100766951,1.0,1.0,1.09223434136029,69.64423264397888,0.8181976849736808,2.3749,-38.9068,0.53284,1.0,355720.78694666194,100000.0,5000.0,longitudinal_acceleration,,,,13.502556625691135,0.18947734055770057,3.6067375944746947,3.574657657886733,0.4799778164757554,0.27388397382173246,210.65448849699058,1600.2821516125557,162,
7,staged_genetic,45.508523421048785,0.45,312.40796655157527,522.6961437828661,0.9801627043088548,189.64027522636258,0.8176249861879155,353.34994136247536,0.0,5.092968097722554,0.952155520856203,318.8239395232078,37.74823431692115,0.09182017335433207,0.0,0.112,0.86,0.73,0.5,0.2251183206233328,0.06141498788082808,0.05,1.2567440426109115,1.4150279519187317,1.0,1.0,0.7478133478750488,85.00482853081222,0.8872883031451336,2.3749,-38.9068,0.53284,1.0,291707.71824339556,100000.0,5000.0,longitudinal_acceleration,,,,17.442294145317753,0.09694189224165085,4.0437610179098,4.041692900524343,0.12931228796217828,0.10968053015574689,243.65762361221815,801.0095924737136,178,
8,staged_genetic,46.069581224949715,0.7018197058502419,296.60736476836564,503.0261087930115,0.9457976052757799,163.74385487694835,0.8792862106952223,370.3543995715324,0.04073231553854067,0.0,0.9830799640283319,339.59900102161237,35.28748927859936,0.16633100483424645,0.0,0.112,0.86,0.73,0.5,0.24391972837122,0.04239004785770173,0.05,0.9856798048939902,0.7680903012831535,1.0,1.0,1.5946791143967678,55.45586909907793,1.180327346008817,2.3749,-38.9068,0.53284,1.0,385619.7655440808,100000.0,5000.0,longitudinal_acceleration,,,,16.400537856513694,0.10711616440498935,3.864635026450098,3.861106923721597,0.16509758100619118,0.16485775360383365,275.8774901720829,857.082466209144,175,
9,staged_genetic,91.05648915814305,0.5389734870182658,351.48318717535506,414.27291121104787,0.9289931323971671,229.30182487292927,0.7296584205927197,302.83973216417417,0.030900766132433387,3.939143414372478,0.9669400001451487,441.06005809305753,32.32999941774971,0.9622226079114415,0.0,0.112,0.86,0.73,0.5,0.20597909498340394,0.19622993743965203,0.05,1.1738912388462746,2.087588709600724,1.0,1.0,0.6556556424062832,175.41209470844532,0.4499949426414491,2.3749,-38.9068,0.53284,1.0,582016.4715655467,100000.0,5000.0,longitudinal_acceleration,,,,34.26279254416027,0.06701189046188544,7.857520639462166,7.857278367526087,0.06170295601102985,0.14997226179509962,402.7629673041739,2094.0306564427974,173,
