try,kind,status,score,param.steering.ackerman_factor,param.tire.slip_angle_relaxation_length,param.tire.lateral_peak_scale,param.tire.lateral_stiffness_scale,param.tire.lateral_peak_pdy1,param.tire.lateral_stiffness_pky1,param.tire.lateral_curvature_pey1,param.tire.structural_lateral_stiffness,param.tire.structural_yaw_stiffness,stage,parameter,step_size,search_radius,position_rmse,heading_rmse,velocity_rmse,velocity_x_rmse,velocity_y_rmse,yaw_rate_rmse,front_wheel_rpm_rmse,motor_rpm_rmse,samples,error,warning
0,staged_genetic,ok,48.37018782974322,0.03,0.001,1.85,4.4,3.4,-190.0,0.18,520000.0,30000.0,skidpad_turning,,,,11.25127668770224,1.4468760724880172,1.9159355862242125,1.9038298018010955,0.21503780210540593,0.24532641016663684,89.91801495686525,310.62510707836674,738,,
1,staged_genetic,ok,50.39863866959353,0.020530423058078142,0.0010300954376809865,1.874126845825737,4.049153750753521,3.2743285147377064,-184.8482229208604,0.1878648303154725,505316.49631158786,28233.193920125676,skidpad_turning,,,,11.620279211488077,1.4121569038763897,2.077964056529552,2.0684207153368095,0.19892301172641463,0.26211544973929735,94.43950237795485,335.19627951620726,719,,
2,staged_genetic,ok,50.46460355042168,0.037545893628889854,0.0013760334322619765,1.8506534982152003,4.046418960992845,3.339068882558584,-202.6691237712662,0.13149683588082028,493479.1044245647,36381.947585387665,skidpad_turning,,,,11.697648819916505,1.4112924137821468,2.0756553893630185,2.0665303764411944,0.19441578803573487,0.25731174298761006,95.33821920781917,334.91246705970235,740,,
3,staged_genetic,ok,49.41984094708227,0.030188252065670006,0.001039669259464106,2.0039075807012625,4.335310612893312,3.5250815828774074,-196.73588440696403,0.21234035059811446,472780.3339808074,29136.33132427402,skidpad_turning,,,,11.372703117363958,1.4319058121756632,2.007344875655502,1.9969701323615932,0.20382281588704637,0.2599240016720555,92.28900895396393,321.3779186823058,741,,
4,staged_genetic,ok,48.719435548378044,0.021516758941016467,0.0006787374758834112,1.8838202682611307,4.621116513565548,3.44889151935524,-201.31547206764526,0.15192362328616485,451864.0159704228,35800.5924613045,skidpad_turning,,,,11.386811918662753,1.5125251572284546,1.8984287516614653,1.8861011638982357,0.21599565893006464,0.24060892325817107,85.90880338261306,300.77072521488793,735,,
5,staged_genetic,ok,49.230487217017135,0.03689381962949591,0.0011979528650546357,1.7885700286957102,4.5121115709603465,3.4642525193365663,-195.0184429621791,0.17577923650065932,496637.2825346605,33367.48623342397,skidpad_turning,,,,11.327144843671709,1.4565245006306926,1.9891530660529402,1.9786338602238458,0.20429872090519335,0.24974535110691576,93.11195392542075,320.0672167031831,738,,
6,staged_genetic,ok,48.425941622752106,0.036632801638426304,0.0008126841905963205,1.8064477797773166,4.613591362784298,3.6110095810998644,-197.87101105385824,0.18230513104354307,540540.0689346993,30817.554550575365,skidpad_turning,,,,11.267763258551057,1.4985644005850336,1.8873005520114587,1.8749395694891764,0.21565014348825237,0.2480101902954658,87.80615851251423,299.07769322817904,742,,
7,staged_genetic,ok,48.930846785744805,0.02055844766444354,0.0007076319504879904,1.8655357771812127,4.211170444917464,3.4928805726865204,-195.49257227891638,0.18885315142538472,498045.7869729867,31407.662145644466,skidpad_turning,,,,11.289828724189986,1.428785256846733,1.9684543002448627,1.9571879586034526,0.21030365391534564,0.2632566601991717,88.66169922810222,314.4126482331347,717,,
8,staged_genetic,ok,48.64754087658012,0.046105736783714546,0.000930226146669005,1.7165106478891,4.802857603958366,3.311125813986519,-187.4806290774393,0.17278397658569689,483950.0159703649,31365.612209905656,skidpad_turning,,,,11.429071283860306,1.5205676639954648,1.8763742050946706,1.8638430085732018,0.21649341084072765,0.24107705040941835,84.9128038715949,297.3225232461913,737,,
9,staged_genetic,ok,49.610748663527175,0.044307724411288024,0.0012504888619437155,1.7773814320904822,4.290195315826302,3.406974949507134,-196.66264570453424,0.19962516597639338,492493.7790870237,30745.2190774284,skidpad_turning,,,,11.385619112389875,1.45143536625424,2.0215132076423017,2.0115914489689644,0.2000387240191437,0.25208482888876205,94.5568575348114,324.82503959406847,744,,
10,staged_genetic,ok,50.64708112742764,0.03688880908709356,0.001263236949282187,1.8734056503412035,4.105199710459854,3.30570040405149,-184.9508350377072,0.24920088512166189,513857.7033218444,27609.62237059817,skidpad_turning,,,,11.711721275607472,1.415836551881815,2.090903370829774,2.0820037970506395,0.19270987316178442,0.2573187068876091,95.76575393146568,337.9590639676613,738,,
11,staged_genetic,ok,66.32233340710663,0.11691126715058207,0.008370169556028973,2.755703532261705,5.986981105083591,2.3027429672675472,-139.05298004090525,-0.1832931674284019,489247.50557906687,36616.76094831871,skidpad_turning,,,,18.193955658739025,1.3756125501909786,2.5228035932876223,2.517997538536703,0.15564821305767418,0.29298640447647567,120.13439591555007,421.7370813130359,737,,
12,staged_genetic,ok,56.98929078026588,0.02762730762011127,0.005547405309913549,1.3011222847809552,4.359125310855384,3.925594676541652,-309.0973851133214,0.013513041838201595,942881.9941524676,50605.603826140905,skidpad_turning,,,,14.690737983176884,1.3840155867316246,2.2062406740203766,2.1985880608089667,0.18359861265857194,0.26583338920705335,104.33437535702058,364.2329044784529,741,,
13,staged_genetic,ok,63.04087434227375,0.11870812226137188,0.009303744226065757,1.215717674187349,3.617441269362457,4.797367512551473,-261.4587872202105,0.1581229182406082,403891.65179712855,74355.31207042937,skidpad_turning,,,,16.88711537369901,1.35856090908704,2.4384773975759044,2.4330116932865984,0.16317511703452384,0.2865945144157188,113.17592886080915,406.88611315838756,740,,
14,staged_genetic_long_eval,ok,48.93605517653544,0.03,0.001,1.85,4.4,3.4,-190.0,0.18,520000.0,30000.0,skidpad_turning,,,,11.297099526586216,1.447484355380999,1.96537850039005,1.9545792668016069,0.2057487292420922,0.255117357906016,88.68758510206622,316.06077395493253,735,,
15,staged_genetic,ok,48.429380440000685,0.036632801638426304,0.0008126841905963205,1.8064477797773166,4.613591362784298,3.6110095810998644,-197.87101105385824,0.18230513104354307,540540.0689346993,30817.554550575365,skidpad_turning,,,,11.273725345813038,1.493437710794265,1.8931037023256003,1.8809341412782143,0.2143090850451244,0.24584383887990088,87.00589910797612,301.289880976301,739,,
16,staged_genetic,ok,49.0145507430235,0.046105736783714546,0.000930226146669005,1.7165106478891,4.802857603958366,3.311125813986519,-187.4806290774393,0.17278397658569689,483950.0159703649,31365.612209905656,skidpad_turning,,,,11.430471384537944,1.494707201599506,1.9245438942389446,1.912309723251704,0.21665807903098439,0.24797434298154258,86.9722383445405,306.96493523017017,725,,
17,staged_genetic,ok,48.65466734920967,0.021516758941016467,0.0006787374758834112,1.8838202682611307,4.621116513565548,3.44889151935524,-201.31547206764526,0.15192362328616485,451864.0159704228,35800.5924613045,skidpad_turning,,,,11.342515254782004,1.5036578232083888,1.902117998574079,1.8897702509147638,0.21638225263873026,0.2435350254655896,86.12337819610919,301.3763537015439,735,,
18,staged_genetic,ok,65.44321556798263,0.051468903917289296,0.005727671677905773,2.433493071043337,7.484839665166523,2.2460115395409113,-147.2811585385258,0.3763822153939422,963204.2393481496,71781.14569490445,skidpad_turning,,,,17.889720681749935,1.3687846447791958,2.493803118685889,2.488770729364559,0.15834851254644303,0.2886239481475215,119.20573872041362,416.63151777067486,739,,
19,staged_genetic,ok,65.2088229390513,0.14244385144472094,0.0030840020971538164,2.551551761606159,5.533583134951596,4.4916952120487075,-207.31457148564084,0.2664303296407866,951940.5287901746,28517.009054609676,skidpad_turning,,,,17.760132201569423,1.359279584678054,2.500133712756815,2.4951617131640145,0.15759634140297857,0.2908261405438799,117.26089374760515,416.5313960203786,742,,
20,staged_genetic,ok,47.70234427816283,0.02083912106332981,0.0,1.8786043074007979,4.833018161366247,3.499106715535468,-180.46236949977038,0.16895892089672593,472694.0919710117,34577.73376398522,skidpad_turning,,,,11.236637416640676,1.4677781153222438,1.8337626898932147,1.820630569392628,0.21906604629078033,0.24856284473279922,82.7956155308757,289.2633324290547,732,,
