try,kind,status,score,param.steering.ackerman_factor,param.tire.effective_tire_r,param.tire.slip_ratio_relaxation_length,param.tire.slip_angle_relaxation_length,param.tire.longitudinal_peak_scale,param.tire.longitudinal_stiffness_scale,param.tire.lateral_shape_scale,param.tire.lateral_peak_scale,param.tire.lateral_curvature_scale,param.tire.lateral_stiffness_scale,param.tire.combined_slip_lateral_stiffness_scale,param.tire.longitudinal_peak_pdx1,param.tire.longitudinal_stiffness_pkx1,param.tire.longitudinal_curvature_pex1,param.tire.lateral_peak_pdy1,param.tire.lateral_stiffness_pky1,param.tire.lateral_curvature_pey1,param.tire.structural_longitudinal_stiffness,param.tire.structural_lateral_stiffness,param.tire.structural_yaw_stiffness,stage,parameter,step_size,search_radius,position_rmse,heading_rmse,velocity_rmse,velocity_x_rmse,velocity_x_mean_error,velocity_x_slow_rmse,velocity_x_slow_mean,velocity_y_rmse,yaw_rate_rmse,yaw_rate_under_rmse,front_wheel_rpm_rmse,motor_rpm_rmse,samples,error,warning
0,staged_genetic,ok,125.84420571768004,0.02,0.18217369020446572,0.0475034894401475,0.0005,1.493161901474767,1.1247054264980267,1.0,1.35,1.0,6.5,1.0,1.0553523312698423,25.0,1.4301675997941354,2.9,-260.0,0.05,322204.3901689281,750000.0,45000.0,skidpad_lateral_force,,,,24.985150888425885,1.8595198109103084,1.7808021164326817,1.7627465506104478,-1.4021496737182908,1.7521747168212887,1.4323364639519356,0.25294421559325225,0.22809554420832426,0.19035110178931103,78.90443634788495,282.89235441871267,749,,
1,staged_genetic,ok,122.939459991596,-0.019949777723732822,0.1822526907283783,0.0493412765245298,0.0,1.4115962740208745,1.1669660978503438,1.0126399058641522,1.3014148775015777,0.9439378840039877,7.348913033250109,1.0564050148392965,1.0558118222024049,20.0,1.3862268901008068,2.6030674116109487,-317.1644434261761,-0.03775296330107264,399524.1397611248,752470.8083619189,45736.36062880247,skidpad_lateral_force,,,,28.81446239051575,1.9055345763593818,1.5971392744528132,1.5736881520294541,-1.1552688287796826,1.5606477237346283,1.1955007518469654,0.27268931435202626,0.20681866144817992,0.17593865831210667,70.82195989127585,253.83553182948256,758,,
2,staged_genetic,ok,119.69764476463904,0.10116220076043142,0.18189067413587395,0.053366688637525965,7.90072245647486e-05,1.57112524666665,1.015336347115338,0.9850518883047427,1.2307044226080441,0.9337396044009536,6.975597522422148,1.055279128391387,1.0765073156062444,20.57989372357607,1.3549630193106483,2.4491001056866217,-186.3770956834429,0.14694433853978622,337793.17829198064,649216.4533288997,48468.451726585714,skidpad_lateral_force,,,,30.00373978590809,1.8707616331814052,1.4986067763769748,1.471079134156476,-1.03736013206,1.45561682921613,1.0830746049733333,0.28591686073476225,0.1932864434803654,0.165313845462097,66.60332576378464,234.40013169293152,750,,
3,staged_genetic,ok,126.36855152146093,0.04085117815008764,0.18162479800547737,0.04676862436660158,8.771675061165551e-05,1.5805870248425047,1.1899970676262857,0.9789269714420861,1.2734433628898145,1.0734220309571023,8.326044451825751,0.950806180913386,1.0590570061612508,27.265448779562426,1.4537509041376557,2.6344563405624744,-284.1203640847408,0.07730898332635025,297420.51106434513,843773.6551161984,40751.83862802561,skidpad_lateral_force,,,,26.55004510596394,1.8758322720839802,1.742355085395528,1.7234358621662136,-1.3408169064927349,1.7124300851667302,1.374544171862616,0.25606653940540425,0.22294104669108963,0.18882421235163438,77.88750670315375,276.3084610909065,757,,
4,staged_genetic,ok,123.02908197311474,0.030671209307383377,0.18149569244921973,0.05014285596323087,0.0017079302587785913,1.4813875637251617,0.9604509502678176,1.0755358007421936,1.2538620583988793,1.0216508438657559,6.268056390254543,0.9363823811241734,1.0789879272105172,31.706745817791262,1.477134261408582,2.644700347193101,-275.0981440738836,0.057545017495698,300342.5839509251,823594.3724114752,38993.12675650444,skidpad_lateral_force,,,,28.280635787021314,1.8963802627561526,1.6090346642558202,1.587361597133163,-1.2291587224499325,1.575601131355936,1.2650910574098793,0.26320279391316154,0.22036273535383452,0.18937143161296502,72.06121363992537,250.15471064209868,749,,
5,staged_genetic,ok,123.25740151596729,0.02967351687046481,0.18307784639714675,0.05071168975952415,0.0007194279719487821,1.4102493200416009,1.0533006843735542,1.0236679607607475,1.628039270578106,0.9850958977662401,5.672561589822443,1.0835506607485748,0.9523955074878842,25.72382348304803,1.4222815000736158,2.681615844539898,-232.86486617966284,0.00990967218108782,303575.07091427664,556802.8371797136,40770.89679485622,skidpad_lateral_force,,,,22.266211176795252,1.8158882278322281,1.8042980524504695,1.7879439139809488,-1.4861259636321986,1.7791779766304936,1.5118122528795808,0.24237991363776104,0.24279667347458164,0.20277384789927214,81.17650317046504,300.52013864576674,764,,
6,staged_genetic,ok,114.00440091219029,0.12003442216395317,0.18452284799040847,0.0574369098027549,0.001014543410374775,1.5078487136379486,0.9951829980380437,1.032017464027174,1.188930579565,0.942875265649349,8.12139986739468,0.9417111236480536,1.0050121526118356,24.330182887371016,1.4827035852887032,2.9814974370650438,-284.21077293956756,-0.00754772226104132,299885.0158111365,704868.8467368023,44641.98240268962,skidpad_lateral_force,,,,30.400686260104212,1.8256418477525291,1.365282451869256,1.3333059083867125,-0.9301077556468305,1.313190218694372,0.9880195899094428,0.2937541966393155,0.19302461465907525,0.1690137550918146,60.88377507986939,212.99457809798676,773,,
7,staged_genetic,ok,121.14240235742557,-0.02991822427221161,0.1806976273759551,0.039626548721452055,7.369229224828204e-05,1.6258882737329665,1.0282989378098109,0.9735239631607758,1.2542447578408893,0.9819505677487753,4.391813441865727,1.0113663383551816,1.1194160732689873,25.251551588511436,1.424696115186399,2.852769119489478,-306.0550724789597,0.26398753772946754,313592.43075013347,807535.9586562146,38941.25510758202,skidpad_lateral_force,,,,21.86343244742592,1.802755418807403,1.7766725145485027,1.7603773739840154,-1.4691505041644384,1.7506884629000437,1.4976824237967916,0.24007649846922313,0.23543068277643606,0.19311687654775625,78.81617116586355,277.30494790373774,748,,
8,staged_genetic,ok,126.71713155757874,0.030467334649393867,0.18247213034366064,0.04699657490554304,0.0007975737330918694,1.4207812191771643,1.0827998938948467,1.085458212527063,1.4033401717379934,1.0145959827865187,6.21621101627284,1.1303188074452573,1.014955858844812,28.423075627618747,1.364670024426305,2.706302512415195,-225.08748559423472,0.004339201250848211,280534.0051223979,758878.4723103672,53683.70281677286,skidpad_lateral_force,,,,25.66170454380907,1.872195810734695,1.7768956257856179,1.758596479412376,-1.3812038336261554,1.7475994232450514,1.412523327133421,0.2543550422823509,0.2286866185963147,0.1926867865119863,78.9538692072741,284.93485618256545,757,,
9,staged_genetic,ok,123.1039597889329,-0.013280957341508182,0.1833407523286344,0.0474424926222043,0.0,1.4878605768837159,1.3208386597708792,0.9708480249779953,1.4020919411616095,0.9107433537348427,4.593049390307005,1.064499384900281,1.0979259593583097,20.0,1.4897248799330558,2.764962691286079,-263.9668159544075,0.020327630412256784,310681.5077210291,726002.2736715542,59156.50726178096,skidpad_lateral_force,,,,19.1669373047299,1.7688054816190424,1.9073886104778732,1.8929544910310874,-1.579296668244327,1.8844171361343771,1.6047908616822446,0.23421060237732058,0.24484519111146114,0.20004024594692127,85.9474308448728,305.6526261768147,749,,
10,staged_genetic,ok,125.05291496484267,0.02667043956951879,0.1802893043191428,0.052832800081205625,0.0,1.4334557602114042,1.1493920843259604,0.9781839155633899,1.4395747052182284,0.9769010877739667,5.6511209152252855,1.0302591358347184,1.1111656809297894,22.94669652176495,1.4348781373255972,2.830432603324435,-291.37699908609534,0.17454492101477292,318540.0752223148,733906.2569824187,33734.723701874405,skidpad_lateral_force,,,,23.801830766136256,1.835803854529146,1.8015423702778135,1.7839651073947753,-1.4222297428769832,1.7742466541695545,1.4533481435185172,0.25104463249420234,0.23226516658179253,0.19215384930445456,80.06213588674491,285.0234925323746,756,,
