elapsed_s,real_x,real_y,real_yaw,sim_x,sim_y,sim_yaw,position_error,heading_error,real_velocity_x,real_velocity_y,real_yaw_rate,sim_velocity_x,sim_velocity_y,sim_yaw_rate,real_fl_rpm,real_fr_rpm,real_front_rpm,real_motor_rpm,sim_fl_rpm,sim_fr_rpm,sim_front_rpm,sim_motor_rpm,front_wheel_rpm_error,motor_rpm_error
0.00897699,-16.68,-4.8936e-10,6.63984e-05,-16.6768,1.023e-05,8.0559e-05,0.0032462,1.41606e-05,-0.000428885,0,0.00186957,0.22214,0.000791223,-0.00226243,0.000000,0.000000,0.000000,0.000000,11.5942,11.3563,11.4752,435.698,11.4752,435.698
0.0290069,-16.6617,0.000979806,-0.000185166,-16.6326,9.06947e-05,0.000353061,0.0290678,0.000538226,0.845143,0,-0.00995415,0.882827,-0.00280402,-0.00906984,0.000000,0.000000,0.000000,168.000000,43.9189,43.6868,43.8029,687.692,43.8029,519.692
0.049112,-16.5995,0.00802046,-0.000499376,-16.5333,-0.00131973,-0.00106767,0.0668079,-0.000568291,0.845143,0,0.00680277,1.56178,-0.0308108,-0.0272703,0.000000,0.000000,0.000000,168.000000,78.7407,77.0752,77.908,881.448,77.908,713.448
0.0692437,-16.5315,0.00801923,0.000518484,-16.3813,-0.00581992,-0.00514297,0.15081,-0.00566145,0.845143,0,0.0398068,2.23818,-0.0705998,-0.065838,0.000000,0.000000,0.000000,168.000000,113.818,109.653,111.735,1028.1,111.735,860.1
0.0892379,-16.5077,0.00629777,-0.00192238,-16.1763,-0.0143738,-0.0117022,0.332013,-0.0097798,1.84497,0,-0.0890919,2.91726,-0.110637,-0.110014,55.150002,48.939999,52.045000,321.000000,148.917,142.557,145.737,1092.37,93.692,771.375
0.109325,-16.3672,-0.00492829,-0.00723539,-15.9145,-0.0303197,-0.0227114,0.453445,-0.0154761,1.84497,0,-0.0851058,3.6045,-0.172522,-0.17115,55.150002,48.939999,52.045000,321.000000,185.658,175.351,180.504,645.547,128.459,324.547
0.129397,-16.2296,-0.00608889,-0.0166243,-15.6014,-0.056397,-0.0383785,0.63017,-0.0217542,1.84497,0,-0.167078,4.14129,-0.236233,-0.209481,127.769997,105.290001,116.529999,321.000000,213.976,201.358,207.667,825.748,91.137,504.748
0.149406,-16.0689,-0.0100856,-0.0318539,-15.2495,-0.0930882,-0.0572597,0.823633,-0.0254058,4.46387,0,-0.216855,4.68895,-0.27266,-0.247723,127.769997,105.290001,116.529999,753.000000,242.528,227.903,235.215,935.147,118.685,182.147
0.169425,-15.6183,-0.034268,-0.0515645,-14.8604,-0.141801,-0.0779861,0.765493,-0.0264216,4.46387,0,-0.283737,5.2398,-0.286042,-0.25847,171.679993,158.690002,165.184998,753.000000,270.45,254.868,262.659,1043.27,97.4737,290.27
0.18952,-15.3049,-0.0754248,-0.0750769,-14.418,-0.203894,-0.0990459,0.896153,-0.023969,4.46387,0,-0.213054,5.72998,-0.266949,-0.234144,171.679993,158.690002,165.184998,753.000000,296.379,281.833,289.106,863.905,123.921,110.905
0.209585,-14.9178,-0.107982,-0.0932492,-13.9812,-0.26818,-0.115414,0.950172,-0.0221648,4.46387,0,-0.252384,5.30916,-0.166177,-0.152696,218.800003,210.009995,214.404999,753.000000,271.386,261.993,266.69,936.835,52.2848,183.835
0.229619,-14.5933,-0.141247,-0.110987,-13.5768,-0.327319,-0.125114,1.03341,-0.0141273,4.46387,0,-0.22033,4.92716,-0.0824549,-0.0715722,218.800003,210.009995,214.404999,753.000000,249.415,244.866,247.141,870.528,32.7357,117.528
0.249804,-14.3407,-0.21118,-0.111237,-13.1984,-0.378467,-0.127633,1.15445,-0.0163958,4.46387,0,-0.0476913,4.54063,0.00943887,0.0213576,213.020004,198.570007,205.795006,753.000000,227.082,228.172,227.627,801.931,21.8316,48.9315
0.269758,-13.8578,-0.278468,-0.11829,-12.8526,-0.418056,-0.123659,1.01481,-0.00536873,4.46387,0,0.0439516,4.15501,0.0826026,0.0875461,213.020004,198.570007,205.795006,753.000000,205.955,210.955,208.455,733.153,2.66011,-19.847
0.289872,-13.6596,-0.317751,-0.11082,-12.5318,-0.446256,-0.114009,1.13509,-0.00318871,3.28985,0,0.191698,3.76043,0.159483,0.13773,175.779999,182.429993,179.104996,566.000000,184.872,193.285,189.079,662.51,9.97354,96.5103
0.309908,-13.3789,-0.346932,-0.0963548,-12.2482,-0.464039,-0.101927,1.13674,-0.0055723,3.28985,0,0.175136,3.37455,0.175872,0.151214,175.779999,182.429993,179.104996,566.000000,164.939,175.013,169.976,593.575,-9.12899,27.5747
0.329992,-13.069,-0.367431,-0.0848171,-11.9782,-0.474703,-0.0878307,1.09604,-0.00301353,3.28985,0,0.231332,3.39184,0.211148,0.182189,154.259995,167.970001,161.114998,566.000000,164.834,176.56,170.697,630.166,9.58184,64.1664
0.350117,-12.7667,-0.382,-0.0632644,-11.7019,-0.479446,-0.0716014,1.06928,-0.00833706,3.28985,0,0.242382,3.43183,0.212842,0.21203,154.259995,167.970001,161.114998,566.000000,166.898,178.969,172.933,634.639,11.8185,68.6394
0.370188,-12.4935,-0.389619,-0.0421753,-11.4246,-0.478919,-0.0546459,1.07256,-0.0124706,3.28985,0,0.261528,3.4706,0.226618,0.213576,153.880005,154.679993,154.279999,566.000000,168.471,181.449,174.96,641.928,20.6797,75.9281
0.390199,-12.2581,-0.397652,-0.0262157,-11.1454,-0.473733,-0.0377395,1.11534,-0.0115238,3.28985,0,0.245709,3.51018,0.225197,0.202736,153.880005,154.679993,154.279999,566.000000,170.568,183.184,176.876,649.247,22.5959,83.2475
0.410221,-11.9833,-0.384631,-0.009839,-10.8611,-0.464409,-0.0210956,1.12506,-0.0112566,3.90721,0,0.216511,3.55101,0.223174,0.192112,153.880005,154.679993,154.279999,673.000000,172.634,185.027,178.83,656.788,24.5504,-16.2118
0.430393,-11.5624,-0.373679,0.0177673,-10.5771,-0.451384,-0.00552552,0.988364,-0.0232928,3.90721,0,0.282662,3.42397,0.198494,0.172517,153.880005,154.679993,154.279999,673.000000,166.944,177.694,172.319,621.742,18.0387,-51.2582
0.450389,-11.317,-0.354205,0.033484,-10.3092,-0.43719,0.00749792,1.01129,-0.0259861,3.90721,0,0.203534,3.24943,0.158748,0.15146,153.880005,154.679993,154.279999,673.000000,159.064,167.757,163.411,587.64,9.13059,-85.3604
0.470438,-11.0874,-0.329463,0.0474306,-10.057,-0.422674,0.0179395,1.03459,-0.0294911,3.90721,0,0.163829,3.07789,0.117671,0.136395,153.880005,154.679993,154.279999,500.000000,151.51,157.536,154.523,557.134,0.242907,57.1336
0.490492,-10.7907,-0.298938,0.063944,-9.81749,-0.408604,0.0259674,0.979373,-0.0379766,2.89334,0,0.161264,2.90699,0.099872,0.0881644,144.240005,149.500000,146.870003,500.000000,143.157,148.554,145.855,526.041,-1.0148,26.0412
0.510612,-10.551,-0.282165,0.0756507,-9.59041,-0.396025,0.0317633,0.967335,-0.0438874,2.89334,0,0.141956,2.8805,0.0678025,0.0541678,144.240005,149.500000,146.870003,500.000000,143.107,146.877,144.992,521.06,-1.87801,21.06
0.530728,-10.3648,-0.267125,0.0836736,-9.34928,-0.383597,0.0357361,1.02221,-0.0479375,2.89334,0,0.0805733,3.06702,0.0438544,0.0388809,136.970001,143.460007,140.215004,500.000000,152.277,154.285,153.281,576.185,13.0657,76.1853
0.55077,-10.115,-0.241984,0.0889837,-9.09466,-0.371523,0.0381241,1.0285,-0.0508596,2.89334,0,0.0654078,3.25765,0.0287042,0.0149547,136.970001,143.460007,140.215004,500.000000,162.455,163.158,162.806,611.202,22.5911,111.202
0.570795,-9.88186,-0.22488,0.0929283,-8.8279,-0.36018,0.0390036,1.06261,-0.0539247,2.89334,0,0.0544531,3.44567,0.0115648,-0.00912997,156.429993,157.210007,156.820000,500.000000,171.759,172.616,172.188,646.572,15.3677,146.572
0.590918,-9.57188,-0.195139,0.0959752,-8.54166,-0.349356,0.0386807,1.0417,-0.0572945,3.71844,0,0.0210815,3.63635,-0.0122541,-0.0200549,156.429993,157.210007,156.820000,643.000000,182.099,181.34,181.72,682.167,24.8998,39.1674
0.610915,-9.30975,-0.169824,0.0969106,-8.24777,-0.339683,0.0372555,1.07548,-0.0596551,3.71844,0,0.0165221,3.657,-0.0230523,-0.00465572,176.179993,182.800003,179.489998,643.000000,184.438,182.484,183.461,662.577,3.97105,19.5766
0.631119,-8.98484,-0.137412,0.0973306,-7.96039,-0.33199,0.034538,1.04276,-0.0627926,3.71844,0,0.023406,3.55152,-0.0380915,-0.0417913,176.179993,182.800003,179.489998,643.000000,179.056,176.521,177.789,647.174,-1.70124,4.174
0.651095,-8.6429,-0.106089,0.0961648,-7.67805,-0.326294,0.0310749,0.989666,-0.0650898,3.49527,0,-0.0145437,3.44829,-0.0553009,-0.0484615,181.130005,177.199997,179.165001,603.000000,174.138,171.198,172.668,628.454,-6.49712,25.4543
0.671079,-8.34591,-0.0848427,0.0934497,-7.40467,-0.322601,0.0270732,0.970809,-0.0663765,3.49527,0,-0.049862,3.39789,-0.0556059,-0.0657045,181.130005,177.199997,179.165001,603.000000,171.649,168.444,170.047,622.981,-9.11843,19.9812
0.691204,-8.02961,-0.0615733,0.0890919,-7.1348,-0.32066,0.022692,0.931566,-0.0663998,3.49527,0,-0.0279705,3.37282,-0.0600324,-0.0608731,173.110001,173.270004,173.190002,603.000000,170.445,167.241,168.843,619.438,-4.34699,16.4378
0.711285,-7.7687,-0.0386556,0.0858953,-6.86406,-0.31998,0.0182835,0.947371,-0.0676117,3.36904,0,-0.034747,3.3478,-0.0647119,-0.0581955,173.110001,173.270004,173.190002,581.000000,169.208,165.943,167.576,614.872,-5.61404,33.8719
0.731288,-7.51828,-0.0216878,0.0830903,-6.59288,-0.320422,0.0137493,0.97242,-0.069341,3.36904,0,-0.039333,3.36596,-0.0619889,-0.043446,172.529999,219.880005,196.205002,581.000000,170.355,166.523,168.439,621.008,-27.7662,40.0083
