lap_counter,lap_time,cones_hit,total_lap_time,best_lap_time,avg_velocity_kmh,max_velocity_kmh,avg_tracking_error_distance,max_tracking_error_distance,avg_velocity_error_kmh,max_velocity_error_kmh
1,49.8703,1,51.8703,51.8703,23.7139,44.5667,0.0551212,1.04593,2.196,5.35108
2,49.4016,1,51.4016,51.4016,23.9376,44.7529,0.0546794,1.04453,2.13023,4.04882
3,49.0151,1,51.0151,51.0151,24.1254,44.8606,0.0556985,1.04469,2.11209,3.97389
4,48.7247,1,50.7247,50.7247,24.2691,44.8991,0.0563437,1.04605,2.08437,3.97592
5,48.5529,1,50.5529,50.5529,24.3532,44.8377,0.0561325,1.04703,2.08564,3.93609
6,48.3189,1,50.3189,50.3189,24.4726,45.1313,0.0567796,1.04463,2.06506,3.78983
7,48.1108,1,50.1108,50.1108,24.5783,45.2765,0.0574822,1.0468,2.03141,3.77598
8,47.9995,1,49.9995,49.9995,24.6351,45.3305,0.0582313,1.04584,2.04768,3.81735
9,47.8828,1,49.8828,49.8828,24.6925,45.3334,0.0571433,1.0461,2.04318,3.98361
10,47.8738,1,49.8738,49.8738,24.6987,45.29,0.0578568,1.04722,2.05152,3.86083
