lap_counter,lap_time,cones_hit,total_lap_time,best_lap_time,avg_velocity_kmh,max_velocity_kmh,avg_tracking_error_distance,max_tracking_error_distance,avg_velocity_error_kmh,max_velocity_error_kmh
1,36.853,1,38.853,38.853,32.3679,58.979,0.105389,1.04708,3.7803,14.2384
2,36.5239,1,38.5239,38.5239,32.6633,59.1127,0.106116,1.04551,3.68962,7.08975
3,36.3102,1,38.3102,38.3102,32.8649,59.3624,0.109973,1.04888,3.66688,6.87843
4,36.1981,1,38.1981,38.1981,32.9942,59.3325,0.121482,1.04794,3.67438,7.03819
5,36.0378,1,38.0378,38.0378,33.1339,59.6325,0.118752,1.04988,3.64219,6.79566
6,35.9354,1,37.9354,37.9354,33.2499,59.5059,0.127951,1.05117,3.67195,6.79054
7,35.8342,1,37.8342,37.8342,33.3492,59.6415,0.130269,1.0499,3.629,6.79791
8,35.7347,1,37.7347,37.7347,33.4528,59.5919,0.135177,1.05153,3.62598,6.58263
9,35.6355,1,37.6355,37.6355,33.5433,59.7922,0.134841,1.05031,3.5998,6.34908
10,35.5447,1,37.5447,37.5447,33.6342,60.0516,0.137097,1.04947,3.61235,6.26425
