Initial Number of Points,RANSAC Epsilon,RANSAC Number Iterations,Number of Points after RANSAC,RANSAC Duration(ms),DBSCAN Distance Threshold,DBSCAN Neighbours Threshold,Number of Generated Clusters,DBSCAN Duration(ms),Number of Blue Cones,Number of Yellow Cones,Number of Undefined Cones,ConeDifferentiation Duration(ms),Total Duration(ms)
12862,0.1,20,1832,1,0.1,1,1640,7,8,6,1626,0,9
12697,0.1,20,2062,0,0.1,1,1832,3,9,8,1815,0,5
12934,0.1,20,1964,0,0.1,1,1756,3,13,5,1738,0,4
13315,0.1,20,2651,0,0.1,1,2204,4,20,10,2174,1,6
13385,0.1,20,2595,0,0.1,1,2196,4,19,8,2169,0,6
13789,0.1,20,3222,0,0.1,1,2976,5,12,6,2958,0,7
13269,0.1,20,3315,0,0.1,1,2022,20,19,12,1991,1,22
13389,0.1,20,2469,0,0.1,1,2246,4,12,4,2230,0,5
13368,0.1,20,2518,1,0.1,1,2300,9,11,5,2284,0,12
13317,0.1,20,2648,0,0.1,1,2211,4,19,10,2182,1,6
13393,0.1,20,2604,0,0.1,1,2196,4,20,7,2169,0,6
13396,0.1,20,2692,0,0.1,1,2288,6,20,8,2260,1,8
13318,0.1,20,2078,0,0.1,1,1846,8,9,6,1831,0,10
13627,0.1,20,2642,0,0.1,1,2432,5,12,7,2413,0,6
12540,0.1,20,1909,0,0.1,1,1699,3,10,5,1684,0,4
13558,0.1,20,2668,0,0.1,1,2417,5,13,6,2398,0,6
12866,0.1,20,1779,1,0.1,1,1587,4,9,7,1571,0,6
13265,0.1,20,2450,0,0.1,1,2224,4,13,2,2209,1,6
13232,0.1,20,3245,0,0.1,1,1995,17,19,11,1965,1,20
13512,0.1,20,2499,0,0.1,1,2298,4,8,5,2285,0,6
13061,0.1,20,1992,0,0.1,1,1786,3,9,9,1768,0,5
13259,0.1,20,2783,0,0.1,1,2237,5,22,8,2207,1,7
13386,0.1,20,2689,0,0.1,1,2286,4,19,5,2262,0,6
13674,0.1,20,3384,0,0.1,1,3173,6,9,7,3157,0,8
13271,0.1,20,1865,0,0.1,1,1635,4,11,5,1619,0,5
13102,0.1,20,2537,1,0.1,1,2310,16,12,4,2294,1,18
13510,0.1,20,2726,1,0.1,1,2266,6,19,13,2234,1,9
13972,0.1,20,2340,0,0.1,1,2137,8,9,8,2120,1,10
13264,0.1,20,2702,0,0.1,1,2498,5,10,4,2484,0,6
13474,0.1,20,2720,0,0.1,1,2276,4,22,5,2249,0,6
13447,0.1,20,2089,0,0.1,1,1881,3,13,4,1864,0,5
13400,0.1,20,3318,0,0.1,1,2036,19,21,7,2008,1,21
12428,0.1,20,1681,0,0.1,1,1480,2,9,4,1467,0,3
13383,0.1,20,2780,0,0.1,1,2563,5,14,4,2545,0,6
13329,0.1,20,2445,0,0.1,1,2223,4,14,2,2207,0,6
12868,0.1,20,2801,0,0.1,1,2582,5,11,6,2565,0,6
13485,0.1,20,2122,0,0.1,1,1918,3,14,4,1900,0,5
12907,0.1,20,2993,0,0.1,1,2396,5,37,18,2341,2,8
13289,0.1,20,2558,1,0.1,1,2224,4,19,11,2194,1,6
13351,0.1,20,2894,0,0.1,1,2673,6,12,4,2657,0,8
13302,0.1,20,2560,0,0.1,1,2203,6,18,10,2175,1,8
12869,0.1,20,2399,0,0.1,1,2173,4,13,6,2154,0,5
13139,0.1,20,2537,1,0.1,1,2325,4,9,7,2309,0,6
13669,0.1,20,3486,0,0.1,1,3272,6,11,4,3257,0,7
12970,0.1,20,1981,0,0.1,1,1780,4,7,8,1765,1,5
13497,0.1,20,2704,0,0.1,1,2468,4,11,7,2450,0,6
13285,0.1,20,2529,0,0.1,1,2190,4,17,9,2164,0,6
12935,0.1,20,2038,0,0.1,1,1818,3,14,4,1800,0,4
12986,0.1,20,2238,0,0.1,1,2034,3,9,6,2019,0,5
13840,0.1,20,3406,0,0.1,1,3213,10,11,6,3196,0,12
12885,0.1,20,1698,0,0.1,1,1497,3,6,8,1483,0,4
13274,0.1,20,2840,0,0.1,1,2633,5,10,6,2617,0,6
13485,0.1,20,2730,0,0.1,1,2511,4,10,4,2497,0,6
13356,0.1,20,2324,0,0.1,1,2086,4,12,8,2066,0,6
13382,0.1,20,2643,0,0.1,1,2241,4,19,7,2215,0,6
12569,0.1,20,1801,0,0.1,1,1592,3,7,8,1577,0,4
13267,0.1,20,3077,0,0.1,1,2834,5,15,5,2814,0,7
13394,0.1,20,2589,1,0.1,1,2190,4,19,8,2163,0,6
13361,0.1,20,3352,0,0.1,1,3135,6,13,4,3118,0,7
13393,0.1,20,2495,0,0.1,1,2280,4,10,6,2264,0,6
13809,0.1,20,2706,0,0.1,1,2493,4,14,4,2475,0,6
13677,0.1,20,3069,0,0.1,1,2852,5,11,10,2831,0,7
13455,0.1,20,2307,0,0.1,1,2094,4,12,3,2079,0,5
13248,0.1,20,2811,0,0.1,1,2137,8,31,12,2094,1,10
