Node, function, test name, first execution time in ms, average execution time in ms
planning, all, 4 cones, 1.44215
planning, all, 4 cones, 1.37277
planning, all, 4 cones, 2.69321
planning, all, 4 cones, 1.52948
planning, all, 4 cones, 0.868551
planning, all, 4 cones, 1.78802
planning, all, 4 cones, 1.51745
planning, all, 4 cones, 2.01922
planning, all, 4 cones, 1.06092
planning, all, 4 cones, 1.91348
planning, all, 4 cones, 1.79407
planning, all, 4 cones, 1.4172
planning, all, 4 cones, 1.42689
planning, all, 4 cones, 0.986676
